,topic/subtopic_name/doc,sent_id,token_id,token,reference
0,0/0/0_news_362,0,0,A,(22
1,0/0/0_news_362,0,1,new,-
2,0/0/0_news_362,0,2,study,22)
3,0/0/0_news_362,0,3,deals,-
4,0/0/0_news_362,0,4,a,(1
5,0/0/0_news_362,0,5,blow,1)
6,0/0/0_news_362,0,6,to,-
7,0/0/0_news_362,0,7,the,(10
8,0/0/0_news_362,0,8,idea,10)
9,0/0/0_news_362,0,9,that,-
10,0/0/0_news_362,0,10,most,(12
11,0/0/0_news_362,0,11,European,-
12,0/0/0_news_362,0,12,men,12)
13,0/0/0_news_362,0,13,are,-
14,0/0/0_news_362,0,14,descended,-
15,0/0/0_news_362,0,15,from,-
16,0/0/0_news_362,0,16,farmers,-
17,0/0/0_news_362,0,17,who,-
18,0/0/0_news_362,0,18,migrated,-
19,0/0/0_news_362,0,19,from,-
20,0/0/0_news_362,0,20,the,-
21,0/0/0_news_362,0,21,Near,-
22,0/0/0_news_362,0,22,East,-
23,0/0/0_news_362,0,23,"5,000",-
24,0/0/0_news_362,0,24,-,-
25,0/0/0_news_362,0,25,"10,000",-
26,0/0/0_news_362,0,26,years,-
27,0/0/0_news_362,0,27,ago,-
28,0/0/0_news_362,0,28,.,-
29,0/0/0_news_362,1,0,The,(22
30,0/0/0_news_362,1,1,findings,22)
31,0/0/0_news_362,1,2,challenge,-
32,0/0/0_news_362,1,3,previous,-
33,0/0/0_news_362,1,4,research,-
34,0/0/0_news_362,1,5,showing,-
35,0/0/0_news_362,1,6,that,-
36,0/0/0_news_362,1,7,the,(3
37,0/0/0_news_362,1,8,genetic,-
38,0/0/0_news_362,1,9,signature,3)
39,0/0/0_news_362,1,10,of,-
40,0/0/0_news_362,1,11,the,(15
41,0/0/0_news_362,1,12,farmers,15)
42,0/0/0_news_362,1,13,displaced,-
43,0/0/0_news_362,1,14,that,-
44,0/0/0_news_362,1,15,of,-
45,0/0/0_news_362,1,16,Europe,(24
46,0/0/0_news_362,1,17,'s,-
47,0/0/0_news_362,1,18,indigenous,-
48,0/0/0_news_362,1,19,hunters,24)
49,0/0/0_news_362,1,20,.,-
50,0/0/0_news_362,2,0,The,-
51,0/0/0_news_362,2,1,latest,-
52,0/0/0_news_362,2,2,research,-
53,0/0/0_news_362,2,3,leans,-
54,0/0/0_news_362,2,4,towards,-
55,0/0/0_news_362,2,5,the,-
56,0/0/0_news_362,2,6,idea,-
57,0/0/0_news_362,2,7,that,-
58,0/0/0_news_362,2,8,most,-
59,0/0/0_news_362,2,9,of,-
60,0/0/0_news_362,2,10,Europe,(24
61,0/0/0_news_362,2,11,'s,-
62,0/0/0_news_362,2,12,males,-
63,0/0/0_news_362,2,13,trace,-
64,0/0/0_news_362,2,14,a,-
65,0/0/0_news_362,2,15,line,-
66,0/0/0_news_362,2,16,of,-
67,0/0/0_news_362,2,17,descent,-
68,0/0/0_news_362,2,18,to,-
69,0/0/0_news_362,2,19,stone,-
70,0/0/0_news_362,2,20,-,-
71,0/0/0_news_362,2,21,age,-
72,0/0/0_news_362,2,22,hunters,24)
73,0/0/0_news_362,2,23,.,-
74,0/0/0_science_208,0,0,Author,(2
75,0/0/0_science_208,0,1,Summary,2)
76,0/0/0_science_208,1,0,Arguably,-
77,0/0/0_science_208,1,1,the,(7
78,0/0/0_science_208,1,2,most,-
79,0/0/0_science_208,1,3,important,-
80,0/0/0_science_208,1,4,cultural,-
81,0/0/0_science_208,1,5,transition,7)
82,0/0/0_science_208,1,6,in,-
83,0/0/0_science_208,1,7,the,-
84,0/0/0_science_208,1,8,history,-
85,0/0/0_science_208,1,9,of,-
86,0/0/0_science_208,1,10,modern,(21
87,0/0/0_science_208,1,11,humans,21)
88,0/0/0_science_208,1,12,was,-
89,0/0/0_science_208,1,13,the,-
90,0/0/0_science_208,1,14,development,-
91,0/0/0_science_208,1,15,of,-
92,0/0/0_science_208,1,16,farming,-
93,0/0/0_science_208,1,17,",",-
94,0/0/0_science_208,1,18,since,-
95,0/0/0_science_208,1,19,it,-
96,0/0/0_science_208,1,20,heralded,-
97,0/0/0_science_208,1,21,the,(5
98,0/0/0_science_208,1,22,population,-
99,0/0/0_science_208,1,23,growth,5)
100,0/0/0_science_208,1,24,that,-
101,0/0/0_science_208,1,25,culminated,-
102,0/0/0_science_208,1,26,in,-
103,0/0/0_science_208,1,27,our,(9
104,0/0/0_science_208,1,28,current,-
105,0/0/0_science_208,1,29,massive,-
106,0/0/0_science_208,1,30,population,-
107,0/0/0_science_208,1,31,size,9)
108,0/0/0_science_208,1,32,.,-
109,0/0/0_science_208,2,0,The,-
110,0/0/0_science_208,2,1,genetic,-
111,0/0/0_science_208,2,2,diversity,-
112,0/0/0_science_208,2,3,of,-
113,0/0/0_science_208,2,4,modern,-
114,0/0/0_science_208,2,5,populations,-
115,0/0/0_science_208,2,6,retains,-
116,0/0/0_science_208,2,7,the,-
117,0/0/0_science_208,2,8,traces,-
118,0/0/0_science_208,2,9,of,-
119,0/0/0_science_208,2,10,such,(25
120,0/0/0_science_208,2,11,past,-
121,0/0/0_science_208,2,12,events,25)
122,0/0/0_science_208,2,13,",",-
123,0/0/0_science_208,2,14,and,-
124,0/0/0_science_208,2,15,can,-
125,0/0/0_science_208,2,16,therefore,-
126,0/0/0_science_208,2,17,be,-
127,0/0/0_science_208,2,18,studied,-
128,0/0/0_science_208,2,19,to,-
129,0/0/0_science_208,2,20,illuminate,-
130,0/0/0_science_208,2,21,the,(20
131,0/0/0_science_208,2,22,demographic,-
132,0/0/0_science_208,2,23,processes,20)
133,0/0/0_science_208,2,24,involved,-
134,0/0/0_science_208,2,25,in,-
135,0/0/0_science_208,2,26,past,-
136,0/0/0_science_208,2,27,events,-
137,0/0/0_science_208,2,28,.,-
138,0/0/0_science_208,3,0,Much,(11
139,0/0/0_science_208,3,1,debate,11)
140,0/0/0_science_208,3,2,has,-
141,0/0/0_science_208,3,3,focused,-
142,0/0/0_science_208,3,4,on,-
143,0/0/0_science_208,3,5,the,(8
144,0/0/0_science_208,3,6,origins,8)
145,0/0/0_science_208,3,7,of,-
146,0/0/0_science_208,3,8,agriculture,(15)
147,0/0/0_science_208,3,9,in,-
148,0/0/0_science_208,3,10,Europe,-
149,0/0/0_science_208,3,11,some,-
150,0/0/0_science_208,3,12,"10,000",-
151,0/0/0_science_208,3,13,years,-
152,0/0/0_science_208,3,14,ago,-
153,0/0/0_science_208,3,15,",",-
154,0/0/0_science_208,3,16,and,-
155,0/0/0_science_208,3,17,in,-
156,0/0/0_science_208,3,18,particular,-
157,0/0/0_science_208,3,19,whether,-
158,0/0/0_science_208,3,20,its,-
159,0/0/0_science_208,3,21,westerly,-
160,0/0/0_science_208,3,22,spread,-
161,0/0/0_science_208,3,23,from,-
162,0/0/0_science_208,3,24,the,(13
163,0/0/0_science_208,3,25,Near,-
164,0/0/0_science_208,3,26,East,13)
165,0/0/0_science_208,3,27,was,-
166,0/0/0_science_208,3,28,driven,-
167,0/0/0_science_208,3,29,by,-
168,0/0/0_science_208,3,30,farmers,-
169,0/0/0_science_208,3,31,themselves,(15)
170,0/0/0_science_208,3,32,migrating,-
171,0/0/0_science_208,3,33,",",-
172,0/0/0_science_208,3,34,or,-
173,0/0/0_science_208,3,35,by,-
174,0/0/0_science_208,3,36,the,(4
175,0/0/0_science_208,3,37,transmission,4)
176,0/0/0_science_208,3,38,of,-
177,0/0/0_science_208,3,39,ideas,(17)
178,0/0/0_science_208,3,40,and,-
179,0/0/0_science_208,3,41,technologies,-
180,0/0/0_science_208,3,42,to,-
181,0/0/0_science_208,3,43,indigenous,-
182,0/0/0_science_208,3,44,hunter,-
183,0/0/0_science_208,3,45,-,-
184,0/0/0_science_208,3,46,gatherers,-
185,0/0/0_science_208,3,47,.,-
186,0/0/0_science_208,4,0,This,(22
187,0/0/0_science_208,4,1,study,22)
188,0/0/0_science_208,4,2,examines,-
189,0/0/0_science_208,4,3,the,-
190,0/0/0_science_208,4,4,diversity,-
191,0/0/0_science_208,4,5,of,-
192,0/0/0_science_208,4,6,the,(23
193,0/0/0_science_208,4,7,paternally,-
194,0/0/0_science_208,4,8,inherited,-
195,0/0/0_science_208,4,9,Y,-
196,0/0/0_science_208,4,10,chromosome,23)
