,topic/subtopic_name,doc_id,sent_id,token_id,token,reference
0,1/1ecb/10,1ecb,0,0,Perennial,-
1,1/1ecb/10,1ecb,0,1,party,-
2,1/1ecb/10,1ecb,0,2,girl,-
3,1/1ecb/10,1ecb,0,3,Tara,(HUM16236184328979740
4,1/1ecb/10,1ecb,0,4,Reid,HUM16236184328979740)
5,1/1ecb/10,1ecb,0,5,checked,(ACT16236402809085484
6,1/1ecb/10,1ecb,0,6,herself,(HUM16236184328979740)
7,1/1ecb/10,1ecb,0,7,into,ACT16236402809085484)
8,1/1ecb/10,1ecb,0,8,Promises,(LOC16235213289813758
9,1/1ecb/10,1ecb,0,9,Treatment,-
10,1/1ecb/10,1ecb,0,10,Center,LOC16235213289813758)
11,1/1ecb/10,1ecb,0,11,",",-
12,1/1ecb/10,1ecb,0,12,her,-
13,1/1ecb/10,1ecb,0,13,rep,(HUM16284637796168708)
14,1/1ecb/10,1ecb,0,14,told,(ACT16235311629112331)
15,1/1ecb/10,1ecb,0,15,People,(HUM16236907954762763)
16,1/1ecb/10,1ecb,0,16,.,-
17,1/1ecb/10,1ecb,1,0,"""",-
18,1/1ecb/10,1ecb,1,1,We,-
19,1/1ecb/10,1ecb,1,2,appreciate,-
20,1/1ecb/10,1ecb,1,3,your,-
21,1/1ecb/10,1ecb,1,4,respect,-
22,1/1ecb/10,1ecb,1,5,to,-
23,1/1ecb/10,1ecb,1,6,her,-
24,1/1ecb/10,1ecb,1,7,and,-
25,1/1ecb/10,1ecb,1,8,her,-
26,1/1ecb/10,1ecb,1,9,family,-
27,1/1ecb/10,1ecb,1,10,'s,-
28,1/1ecb/10,1ecb,1,11,privacy,-
29,1/1ecb/10,1ecb,1,12,at,-
30,1/1ecb/10,1ecb,1,13,this,-
31,1/1ecb/10,1ecb,1,14,time,-
32,1/1ecb/10,1ecb,1,15,",",-
33,1/1ecb/10,1ecb,1,16,'',-
34,1/1ecb/10,1ecb,1,17,the,-
35,1/1ecb/10,1ecb,1,18,33-year-old,-
36,1/1ecb/10,1ecb,1,19,actress,-
37,1/1ecb/10,1ecb,1,20,'s,-
38,1/1ecb/10,1ecb,1,21,rep,-
39,1/1ecb/10,1ecb,1,22,Jack,-
40,1/1ecb/10,1ecb,1,23,Ketsoyan,-
41,1/1ecb/10,1ecb,1,24,told,-
42,1/1ecb/10,1ecb,1,25,the,-
43,1/1ecb/10,1ecb,1,26,magazine,-
44,1/1ecb/10,1ecb,1,27,exclusively,-
45,1/1ecb/10,1ecb,1,28,for,-
46,1/1ecb/10,1ecb,1,29,their,-
47,1/1ecb/10,1ecb,1,30,Web,-
48,1/1ecb/10,1ecb,1,31,site,-
49,1/1ecb/10,1ecb,1,32,.,-
50,1/1ecb/10,1ecb,2,0,Ketsoyan,-
51,1/1ecb/10,1ecb,2,1,would,-
52,1/1ecb/10,1ecb,2,2,not,-
53,1/1ecb/10,1ecb,2,3,say,-
54,1/1ecb/10,1ecb,2,4,what,-
55,1/1ecb/10,1ecb,2,5,the,-
56,1/1ecb/10,1ecb,2,6,"""",-
