,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,d008f70de,uefaeuro2016tournament,,MIS,MISC,"Iceland are the smallest country in the competition, but the planet's biggest football star still had some harsh words for Portugal's opponents, who were making their debut in a major tournament."
1,d008f70de,uefaeuro2016tournament,,MIS,MISC,"""If you see Spain, France, they are the strongest teams in the tournament and had a difficult time to win their games so for us it was tough but we are confident."
2,d008f70de,uefaeuro2016groupstage,,MIS,MISC,We 're 100 percent confident we 'll win our next game.
3,d008f70de,"2016-06-1800:00:00portugalaustriauefaeurotrueon-site20160-0lyon,france",,MIS,MISC,"Santos admitted his side's finishing was less than clinical, but he was confident they would improve before their next game against Austria on Saturday."
4,d008f70de,uefaeuro2016tournament,,MIS,MISC,I think we 'll bounce back to play two great matches.
5,d06d89a4a,uefaeuro2016semifinals,,MIS,MISC,Wales recorded the greatest night in their football history as they came from a goal down to beat Belgium at Euro 2016 and reach the semi-finals of a major tournament for the first time.
6,d06d89a4a,"2016-07-0600:00:00portugalwalesuefaeurotrueon-site20162-0lyon,france",,MIS,MISC,"After withstanding late Belgium pressure, Wales sealed victory through a header from substitute Sam Vokes that set up a semi-final against Portugal and a mouth-watering duel between Real Madrid team-mates Gareth Bale and Cristiano Ronaldo."
7,d06d89a4a,uefaeuro2016groupstage,,MIS,MISC,"Bale has been a key figure in Wales' success at Euro 2016, scoring three times in the group stages, but this victory highlighted the team spirit that Coleman and his side have spoken of throughout their time together in France."
8,d06d89a4a,uefaeuro2016tournament,,MIS,MISC,"This was a goal which embodied Wales' odds-defying run at Euro 2016, after languishing as low as 117th in the world rankings in 2011."
9,d06d89a4a,uefaeuro2016semifinals,,MIS,MISC,"He has his wish, a semi-final against a Portugal side who have yet to win a game in 90 minutes at Euro 2016."
10,d06d89a4a,uefaeuro2016semifinals,,MIS,MISC,"On Ramsey and Davies missing the semi-final, he added : ""I 'm gutted for Aaron."
11,d06d89a4a,uefaeuro2016tournament,,MIS,MISC,"He's been one of the best players of the tournament. """
12,d06d89a4a,uefaeuro2016tournament,,MIS,MISC,"Belgium boss Marc Wilmots on his future : ""I said I 'd make my decision after the European Championship."
13,d06d89a4a,uefaeuro2016semifinals,,MIS,MISC,Wales have become the first team to reach the semi-final on their European Championship debut since Sweden in 1992.
14,d06d89a4a,uefaeuro2016tournament,,MIS,MISC,"The Dragons have scored 10 goals at Euro 2016, only once has a British team scored more at a major tournament (England, 11 in World Cup 1966)."
15,d06d89a4a,uefaeuro2016tournament,,MIS,MISC,"Both Eden Hazard and Aaron Ramsey have four assists at Euro 2016, the joint most by a player in a single tournament since 1980."
16,d0a6083cf,uefaeuro2016tournament,,MIS,MISC,Euro 2016 : Iceland faces its steepest challenge yet against France
17,d0a6083cf,uefaeuro2016tournament,,MIS,MISC,"The team accused of having “ a small mentality ” by Cristiano Ronaldo has as many goals (six) at this competition as Portugal and France, and a victory Sunday would more than overshadow Wales ’s recent designation as the smallest nation to ever reach the last four of the Euros or World Cup."
