,coref_chain,mention_ner,mention_head_pos,mention_head_lemma,mention_head,mention_head_id,doc_id,doc,is_continuous,is_singleton,mention_id,mention_type,mention_full_type,score,sent_id,mention_context,tokens_number,tokens_str,tokens_text,topic_id,topic,subtopic_id,subtopic,coref_type,description,conll_doc_key
d006c5e28/0/LspE,OCCHbSd4eKh7oSKTrfEhRHv4D,O,VERB,try,tried,7,d006c5e28,d006c5e28,True,False,d006c5e28/0/LspE,OCC,OCCURENCE,-1.0,46,"['pick', 'three', 'deep', 'midfielders', 'to', 'go', 'toe-to-toe', 'with', 'Bastian', 'Schweinsteiger', ',', 'Toni', 'Kroos', 'and', 'Sami', 'Khedira', '.', 'Instead', 'Brazil', 'stuck', 'with', 'two', 'screening', 'players', '–', 'Fernandinho', 'and', 'Luiz', 'Gustavo', '–', 'and', 'replaced', 'Neymar', 'with', 'Bernard', ',', 'the', 'tiny', 'winger', '.', 'Scolari', 'chose', 'attack', 'as', 'the', 'best', 'form', 'of', 'defence', ',', 'but', 'left', 'his', 'team', 'horribly', 'vulnerable', 'to', 'the', 'relentless', ',', 'rhythmic', 'passing', 'of', 'Germany', '.', 'This', 'was', 'the', 'first', 'time', 'in', '27', 'matches', 'that', 'Brazil', 'lined', 'up', 'without', 'Neymar', '.', 'Bernard', 'won', 'the', 'Copa', 'Libertadores', 'with', 'Atletico', 'Mineiro', 'on', 'this', 'pitch', 'last', 'year', ',', 'which', 'apparently', 'helped', 'his', 'case', '.', 'All', 'through', 'this', 'World', 'Cup', ',', 'Brazil', 'tried', 'to', 'exploit', 'the', 'margins', '.', 'Scolari', 'grabbed', 'at', 'every', 'tool', ',', 'from', 'sports', 'psychology', 'to', 'Neymar', 'caps', '.', 'The', 'despairing', 'fans', 'played', 'their', 'part', '.', 'Indignation', 'about', 'the', 'tournament', '’s', 'huge', 'cost', 'was', 'shoved', 'aside', 'when', 'the', 'buttercup', 'shirts', 'took', 'to', 'the', 'field', '.', 'Here', 'at', 'the', 'Estadio', 'Mineirao', ',', 'the', 'white', 'jerseys', 'of', 'Germany', '’s', 'supporters', 'were', 'specks', 'in', 'a', 'vast', 'yellow', 'meadow', '.', 'The', 'Germans', ',', 'though', ',', 'struck', 'the', 'right', 'note', '.', 'Löw', 'called', 'this', '“', 'the', 'battle', 'of', 'the', 'continents', ',', 'Europe', 'v', 'South', 'America', '.', 'There', 'are']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","All through this World Cup, Brazil tried to exploit the margins.","['All', 'through', 'this', 'World', 'Cup', ',', 'Brazil', 'tried', 'to', 'exploit', 'the', 'margins', '.']",0,0_football_matches,nmThnwiPwpkcQXGALELxhG,"2014-07-08_00:00:00_brazil_germany_fifa_world_cup_false_on-site_2014_1-7_belo_horizonte,_brazil",IDENTITY,fifa_world_cup_2014_tournament,0/nmThnwiPwpkcQXGALELxhG/d006c5e28
d006c5e28/2/3bgT,OCC2LCRAv9aEWjA2zNnKcoKvh,O,VERB,skip,skipping,2,d006c5e28,d006c5e28,True,False,d006c5e28/2/3bgT,OCC,OCCURENCE,-1.0,66,"['is', 'much', 'more', 'angst', 'to', 'seep', 'out', 'of', 'Brazil', '.', 'Social', 'equilibrium', 'always', 'appeared', 'dependent', 'on', 'the', 'team', '’s', 'ability', 'to', 'go', 'on', 'winning', 'games', '.', 'Scolari', '’s', 'promise', 'to', 'bestow', 'a', 'sixth', 'world', 'title', 'on', 'his', 'people', 'was', 'meant', 'to', 'calm', 'the', 'nation', '’s', 'nerves', '.', 'It', 'reads', 'now', 'like', 'a', 'rhetorical', 'leap', 'off', 'a', 'cliff', '.', 'When', 'Germany', 'scored', 'their', 'sixth', 'goal', ',', 'through', 'Andre', 'Schürrle', ',', 'poor', 'Fred', 'finally', 'left', 'the', 'stage', ',', 'along', 'with', 'many', 'Brazil', 'fans', ',', 'who', 'walked', 'out', '.', 'Then', 'Schürrle', 'scored', 'a', 'seventh', '.', 'There', 'could', 'be', 'even', 'worse', 'in', 'store', '.', 'Imagine', 'Argentina', 'skipping', 'out', 'at', 'the', 'Maracana', 'on', 'Sunday', '.', 'Picture', 'an', 'all-European', 'World', 'Cup', 'final', 'in', 'South', 'America', '.', 'We', 'thought', 'the', 'samba', 'would', 'never', 'stop', 'at', 'this', 'tournament', '.', 'It', 'just', 'did', '.', '-', 'Neymar', ""'s"", '7-Up', 'deal', 'and', 'the', 'other', 'best', 'internet', 'virals', 'on', 'Brazil', ""'s"", 'defeat', '-', ""'"", 'Total', 'global', 'humiliation', ""'"", '-', 'how', 'the', 'world', ""'s"", 'newspapers', 'reacted', '-', 'Extraordinary', 'scenes', 'as', 'Brazil', 'fans', 'weep', 'and', 'wail', 'in', 'the', 'streets', '-', 'In', 'defence', 'of', 'Brazil', ""'s"", 'scapegoat', 'Fred', '-', 'Why', 'did', 'Van', 'Gaal', 'abandon', 'the', 'deal', 'for', 'Kroos', 'that', 'Moyes', 'set', 'up', '?', '-', 'Henry']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",Imagine Argentina skipping out at the Maracana on Sunday.,"['Imagine', 'Argentina', 'skipping', 'out', 'at', 'the', 'Maracana', 'on', 'Sunday', '.']",0,0_football_matches,nmThnwiPwpkcQXGALELxhG,"2014-07-08_00:00:00_brazil_germany_fifa_world_cup_false_on-site_2014_1-7_belo_horizonte,_brazil",IDENTITY,"2014-07-13_00:00:00_germany_argentina_fifa_world_cup_true_on-site_2014_1-0_rio_de_janeiro,_brazil",0/nmThnwiPwpkcQXGALELxhG/d006c5e28
d006c5e28/3/6tYt,OCC2LCRAv9aEWjA2zNnKcoKvh,O,VERB,picture,Picture,0,d006c5e28,d006c5e28,True,False,d006c5e28/3/6tYt,OCC,OCCURENCE,-1.0,67,"['Social', 'equilibrium', 'always', 'appeared', 'dependent', 'on', 'the', 'team', '’s', 'ability', 'to', 'go', 'on', 'winning', 'games', '.', 'Scolari', '’s', 'promise', 'to', 'bestow', 'a', 'sixth', 'world', 'title', 'on', 'his', 'people', 'was', 'meant', 'to', 'calm', 'the', 'nation', '’s', 'nerves', '.', 'It', 'reads', 'now', 'like', 'a', 'rhetorical', 'leap', 'off', 'a', 'cliff', '.', 'When', 'Germany', 'scored', 'their', 'sixth', 'goal', ',', 'through', 'Andre', 'Schürrle', ',', 'poor', 'Fred', 'finally', 'left', 'the', 'stage', ',', 'along', 'with', 'many', 'Brazil', 'fans', ',', 'who', 'walked', 'out', '.', 'Then', 'Schürrle', 'scored', 'a', 'seventh', '.', 'There', 'could', 'be', 'even', 'worse', 'in', 'store', '.', 'Imagine', 'Argentina', 'skipping', 'out', 'at', 'the', 'Maracana', 'on', 'Sunday', '.', 'Picture', 'an', 'all-European', 'World', 'Cup', 'final', 'in', 'South', 'America', '.', 'We', 'thought', 'the', 'samba', 'would', 'never', 'stop', 'at', 'this', 'tournament', '.', 'It', 'just', 'did', '.', '-', 'Neymar', ""'s"", '7-Up', 'deal', 'and', 'the', 'other', 'best', 'internet', 'virals', 'on', 'Brazil', ""'s"", 'defeat', '-', ""'"", 'Total', 'global', 'humiliation', ""'"", '-', 'how', 'the', 'world', ""'s"", 'newspapers', 'reacted', '-', 'Extraordinary', 'scenes', 'as', 'Brazil', 'fans', 'weep', 'and', 'wail', 'in', 'the', 'streets', '-', 'In', 'defence', 'of', 'Brazil', ""'s"", 'scapegoat', 'Fred', '-', 'Why', 'did', 'Van', 'Gaal', 'abandon', 'the', 'deal', 'for', 'Kroos', 'that', 'Moyes', 'set', 'up', '?', '-', 'Henry', 'Winter', ':', 'Germany', ""'s"", 'destruction', 'was', 'a', 'decade', 'in', 'the']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",Picture an all-European World Cup final in South America.,"['Picture', 'an', 'all-European', 'World', 'Cup', 'final', 'in', 'South', 'America', '.']",0,0_football_matches,nmThnwiPwpkcQXGALELxhG,"2014-07-08_00:00:00_brazil_germany_fifa_world_cup_false_on-site_2014_1-7_belo_horizonte,_brazil",IDENTITY,"2014-07-13_00:00:00_germany_argentina_fifa_world_cup_true_on-site_2014_1-0_rio_de_janeiro,_brazil",0/nmThnwiPwpkcQXGALELxhG/d006c5e28
d006c5e28/4/cUCc,OCCHbSd4eKh7oSKTrfEhRHv4D,O,VERB,think,thought,1,d006c5e28,d006c5e28,True,False,d006c5e28/4/cUCc,OCC,OCCURENCE,-1.0,68,"['to', 'go', 'on', 'winning', 'games', '.', 'Scolari', '’s', 'promise', 'to', 'bestow', 'a', 'sixth', 'world', 'title', 'on', 'his', 'people', 'was', 'meant', 'to', 'calm', 'the', 'nation', '’s', 'nerves', '.', 'It', 'reads', 'now', 'like', 'a', 'rhetorical', 'leap', 'off', 'a', 'cliff', '.', 'When', 'Germany', 'scored', 'their', 'sixth', 'goal', ',', 'through', 'Andre', 'Schürrle', ',', 'poor', 'Fred', 'finally', 'left', 'the', 'stage', ',', 'along', 'with', 'many', 'Brazil', 'fans', ',', 'who', 'walked', 'out', '.', 'Then', 'Schürrle', 'scored', 'a', 'seventh', '.', 'There', 'could', 'be', 'even', 'worse', 'in', 'store', '.', 'Imagine', 'Argentina', 'skipping', 'out', 'at', 'the', 'Maracana', 'on', 'Sunday', '.', 'Picture', 'an', 'all-European', 'World', 'Cup', 'final', 'in', 'South', 'America', '.', 'We', 'thought', 'the', 'samba', 'would', 'never', 'stop', 'at', 'this', 'tournament', '.', 'It', 'just', 'did', '.', '-', 'Neymar', ""'s"", '7-Up', 'deal', 'and', 'the', 'other', 'best', 'internet', 'virals', 'on', 'Brazil', ""'s"", 'defeat', '-', ""'"", 'Total', 'global', 'humiliation', ""'"", '-', 'how', 'the', 'world', ""'s"", 'newspapers', 'reacted', '-', 'Extraordinary', 'scenes', 'as', 'Brazil', 'fans', 'weep', 'and', 'wail', 'in', 'the', 'streets', '-', 'In', 'defence', 'of', 'Brazil', ""'s"", 'scapegoat', 'Fred', '-', 'Why', 'did', 'Van', 'Gaal', 'abandon', 'the', 'deal', 'for', 'Kroos', 'that', 'Moyes', 'set', 'up', '?', '-', 'Henry', 'Winter', ':', 'Germany', ""'s"", 'destruction', 'was', 'a', 'decade', 'in', 'the', 'making']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",We thought the samba would never stop at this tournament.,"['We', 'thought', 'the', 'samba', 'would', 'never', 'stop', 'at', 'this', 'tournament', '.']",0,0_football_matches,nmThnwiPwpkcQXGALELxhG,"2014-07-08_00:00:00_brazil_germany_fifa_world_cup_false_on-site_2014_1-7_belo_horizonte,_brazil",IDENTITY,fifa_world_cup_2014_tournament,0/nmThnwiPwpkcQXGALELxhG/d006c5e28
d0258e9df/0/itui,OCCHbSd4eKh7oSKTrfEhRHv4D,O,VERB,have,have,6,d0258e9df,d0258e9df,True,False,d0258e9df/0/itui,OCC,OCCURENCE,-1.0,1,"['Does', 'US', 'really', 'have', 'most', 'fans', 'in', 'Brazil', '?', 'World', 'Cup', ':', 'Does', 'US', 'really', 'have', 'the', 'most', 'fans', 'in', 'Brazil', '?', 'The', 'country', 'where', 'the', 'most', 'World', 'Cup', 'match', 'tickets', 'were', 'bought', ',', 'outside', 'Brazil', ',', 'was', 'the', 'US', '.', 'Why', ',', 'asks', 'Tom', 'Geoghegan', '.', 'Nearly', '200,000', 'match', 'tickets', 'were', 'bought', 'in', 'the', 'US', ',', 'which', 'comes', 'as', 'some', 'surprise', 'given', 'that', '""', 'soccer', '""', 'is', 'still', 'way', 'behind', 'US', 'sports', 'in', 'popularity', '.', 'The', 'next', 'biggest', 'market', 'was', 'Argentina', ',', 'a', 'long', 'way', 'behind', ',', 'followed', 'by', 'Germany', ',', 'England', 'and', 'Colombia', ',', 'according', 'to', 'Fifa', '.', 'The', 'number', 'of', 'US', 'fans', 'travelling', 'overseas', 'is', ""n't""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",World Cup : Does US really have the most fans in Brazil?,"['World', 'Cup', ':', 'Does', 'US', 'really', 'have', 'the', 'most', 'fans', 'in', 'Brazil', '?']",0,0_football_matches,QJW3ZCGywkyAsYqzJsGG4r,other_seminal_event-0,IDENTITY,fifa_world_cup_2014_tournament,0/QJW3ZCGywkyAsYqzJsGG4r/d0258e9df
d0258e9df/1/9jDC,OCCHbSd4eKh7oSKTrfEhRHv4D,O,AUX,be,was,15,d0258e9df,d0258e9df,True,False,d0258e9df/1/9jDC,OCC,OCCURENCE,-1.0,2,"['Does', 'US', 'really', 'have', 'most', 'fans', 'in', 'Brazil', '?', 'World', 'Cup', ':', 'Does', 'US', 'really', 'have', 'the', 'most', 'fans', 'in', 'Brazil', '?', 'The', 'country', 'where', 'the', 'most', 'World', 'Cup', 'match', 'tickets', 'were', 'bought', ',', 'outside', 'Brazil', ',', 'was', 'the', 'US', '.', 'Why', ',', 'asks', 'Tom', 'Geoghegan', '.', 'Nearly', '200,000', 'match', 'tickets', 'were', 'bought', 'in', 'the', 'US', ',', 'which', 'comes', 'as', 'some', 'surprise', 'given', 'that', '""', 'soccer', '""', 'is', 'still', 'way', 'behind', 'US', 'sports', 'in', 'popularity', '.', 'The', 'next', 'biggest', 'market', 'was', 'Argentina', ',', 'a', 'long', 'way', 'behind', ',', 'followed', 'by', 'Germany', ',', 'England', 'and', 'Colombia', ',', 'according', 'to', 'Fifa', '.', 'The', 'number', 'of', 'US', 'fans', 'travelling', 'overseas', 'is', ""n't"", 'surprising', 'to', 'Christopher', 'Harris', ',', 'editor', 'and', 'publisher', 'of', 'WorldSoccerTalk.com', '.', '""', 'US']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","The country where the most World Cup match tickets were bought, outside Brazil, was the US.","['The', 'country', 'where', 'the', 'most', 'World', 'Cup', 'match', 'tickets', 'were', 'bought', ',', 'outside', 'Brazil', ',', 'was', 'the', 'US', '.']",0,0_football_matches,QJW3ZCGywkyAsYqzJsGG4r,other_seminal_event-0,IDENTITY,fifa_world_cup_2014_tournament,0/QJW3ZCGywkyAsYqzJsGG4r/d0258e9df
d0258e9df/2/P496,OCCHbSd4eKh7oSKTrfEhRHv4D,O,AUX,be,are,4,d0258e9df,d0258e9df,True,False,d0258e9df/2/P496,OCC,OCCURENCE,-1.0,19,"['and', 'blue', 'Mohicans', 'and', 'continuous', 'chants', 'of', '""', 'U', 'S', 'A', '!', 'U', 'S', 'A', '!', '""', 'In', 'the', 'viewing', 'areas', ',', 'when', 'Spain', 'or', 'Netherlands', 'play', ',', 'the', 'atmosphere', 'is', 'joyous', 'and', 'relaxed', ',', 'but', 'when', 'Klinsmann', ""'s"", 'team', 'kicks', 'off', ',', 'thousands', 'of', 'US', 'fans', 'fill', 'the', 'beach-side', 'viewing', 'party', 'and', 'it', ""'s"", 'more', 'like', 'a', 'sold-out', 'rock', 'concert', '.', 'Hailing', 'from', 'all', 'over', 'the', 'US', ',', 'some', 'boast', '""', 'soccer', '""', 'knowledge', 'rivalling', 'the', 'post-game', 'analysts', ',', 'others', 'are', 'just', 'here', '""', 'to', 'have', 'fun', '""', '.', 'Rio', 'has', 'noticed', ',', 'the', 'Americans', 'are', 'in', 'town', '.', 'Argentina', 'and', 'Chile', 'fans', 'are', 'also', 'highly', 'visible', 'but', 'the', 'number', 'of', 'US', 'fans', 'could', 'surpass', 'even', 'them', '.', 'Whether', 'they', 'are', 'the', 'biggest', 'group', 'is', 'hard', 'to', 'say', 'as', 'so', 'many', 'fans', 'travel', 'without', 'tickets', '.', 'In', 'Germany', 'in', '2006', ',', 'it', 'was', 'widely', 'believed', 'that', 'England', 'fans', 'formed', 'the', 'largest', 'horde', ',', 'with', 'police', 'estimating', 'that', '70,000', 'made', 'the', 'trip', '.', 'There', ""'s"", 'also', 'the', 'likelihood', 'that', 'many', 'of', 'the', 'tickets', 'bought', 'in', 'the', 'US', 'were', 'by', 'fans', 'of', 'other', 'countries', ',', 'says', 'ESPN', 'football', 'commentator', 'Allen', 'Hopkins', '.', '""', 'We', 'are', 'a', 'melting', 'pot', 'and', 'although', 'fans']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",Argentina and Chile fans are also highly visible but the number of US fans could surpass even them.,"['Argentina', 'and', 'Chile', 'fans', 'are', 'also', 'highly', 'visible', 'but', 'the', 'number', 'of', 'US', 'fans', 'could', 'surpass', 'even', 'them', '.']",0,0_football_matches,QJW3ZCGywkyAsYqzJsGG4r,other_seminal_event-0,IDENTITY,fifa_world_cup_2014_tournament,0/QJW3ZCGywkyAsYqzJsGG4r/d0258e9df
d0428e8e9/0/GbeF,OCC9R2BBzRkZCctTnv2mq2cbN,EVENT,PROPN,Cup,Cup,1,d0428e8e9,d0428e8e9,True,False,d0428e8e9/0/GbeF,OCC,OCCURENCE,-1.0,0,"['World', 'Cup', '2010', ':', 'France', ""'s"", 'Nicolas', 'Anelka', 'sent', 'home', 'from', 'South', 'Africa', 'France', 'striker', 'Nicolas', 'Anelka', 'has', 'been', 'expelled', 'from', 'his', 'country', ""'s"", 'squad', 'and', 'sent', 'home', 'from', 'South', 'Africa', 'after', 'refusing', 'to', 'apologise', 'for', 'an', 'astonishing', 'verbal', 'attack', 'on', 'coach', 'Raymond', 'Domenech', 'at', 'half-time', 'of', 'Thursday', ""'s"", '2-0', 'defeat', 'to', 'Mexico', '.', 'The', 'player', 'has', 'been', 'ordered', 'to', 'go', 'home', 'by', 'a', 'French', 'Football', 'Federation', 'disciplinary', 'committee', 'which', 'convened', 'this', 'afternoon', 'and', 'will', 'leave', 'the', 'country', 'tonight', '.', 'The', 'Chelsea', 'forward', 'was', 'not', 'at', 'training', 'today', 'and', 'was', 'asked', 'to', 'apologise', 'by', 'French', 'Football', 'Federation', 'president', 'Jean-Pierre', 'Escalettes']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",World Cup 2010 : France's Nicolas Anelka sent home from South Africa,"['World', 'Cup', '2010', ':', 'France', ""'s"", 'Nicolas', 'Anelka', 'sent', 'home', 'from', 'South', 'Africa']",0,0_football_matches,oZ2Rt83XfriRiPjbxoKo3X,other_seminal_event-1,IDENTITY,fifa_world_cup_2010_tournament,0/oZ2Rt83XfriRiPjbxoKo3X/d0428e8e9
d0428e8e9/1/MFWE,OCCVSyqQBNHbCExsGSBfeRP4R,O,VERB,expel,expelled,6,d0428e8e9,d0428e8e9,True,False,d0428e8e9/1/MFWE,OCC,OCCURENCE,-1.0,1,"['World', 'Cup', '2010', ':', 'France', ""'s"", 'Nicolas', 'Anelka', 'sent', 'home', 'from', 'South', 'Africa', 'France', 'striker', 'Nicolas', 'Anelka', 'has', 'been', 'expelled', 'from', 'his', 'country', ""'s"", 'squad', 'and', 'sent', 'home', 'from', 'South', 'Africa', 'after', 'refusing', 'to', 'apologise', 'for', 'an', 'astonishing', 'verbal', 'attack', 'on', 'coach', 'Raymond', 'Domenech', 'at', 'half-time', 'of', 'Thursday', ""'s"", '2-0', 'defeat', 'to', 'Mexico', '.', 'The', 'player', 'has', 'been', 'ordered', 'to', 'go', 'home', 'by', 'a', 'French', 'Football', 'Federation', 'disciplinary', 'committee', 'which', 'convened', 'this', 'afternoon', 'and', 'will', 'leave', 'the', 'country', 'tonight', '.', 'The', 'Chelsea', 'forward', 'was', 'not', 'at', 'training', 'today', 'and', 'was', 'asked', 'to', 'apologise', 'by', 'French', 'Football', 'Federation', 'president', 'Jean-Pierre', 'Escalettes', '.', 'Upon', 'refusing', 'to', 'do', 'so', ',', 'was', 'asked', 'to', 'leave', 'the', 'squad']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",France striker Nicolas Anelka has been expelled from his country's squad and sent home from South Africa after refusing to apologise for an astonishing verbal attack on coach Raymond Domenech at half-time of Thursday's 2-0 defeat to Mexico.,"['France', 'striker', 'Nicolas', 'Anelka', 'has', 'been', 'expelled', 'from', 'his', 'country', ""'s"", 'squad', 'and', 'sent', 'home', 'from', 'South', 'Africa', 'after', 'refusing', 'to', 'apologise', 'for', 'an', 'astonishing', 'verbal', 'attack', 'on', 'coach', 'Raymond', 'Domenech', 'at', 'half-time', 'of', 'Thursday', ""'s"", '2-0', 'defeat', 'to', 'Mexico', '.']",0,0_football_matches,oZ2Rt83XfriRiPjbxoKo3X,other_seminal_event-1,IDENTITY,"2010-06-17_00:00:00_france_mexico_fifa_world_cup_true_on-site_2010_0-2_polokwane,_south_africa",0/oZ2Rt83XfriRiPjbxoKo3X/d0428e8e9
d0428e8e9/2/9c3j,OCC9R2BBzRkZCctTnv2mq2cbN,O,VERB,criticise,criticised,25,d0428e8e9,d0428e8e9,True,False,d0428e8e9/2/9c3j,OCC,OCCURENCE,-1.0,6,"['after', 'refusing', 'to', 'apologise', 'for', 'an', 'astonishing', 'verbal', 'attack', 'on', 'coach', 'Raymond', 'Domenech', 'at', 'half-time', 'of', 'Thursday', ""'s"", '2-0', 'defeat', 'to', 'Mexico', '.', 'The', 'player', 'has', 'been', 'ordered', 'to', 'go', 'home', 'by', 'a', 'French', 'Football', 'Federation', 'disciplinary', 'committee', 'which', 'convened', 'this', 'afternoon', 'and', 'will', 'leave', 'the', 'country', 'tonight', '.', 'The', 'Chelsea', 'forward', 'was', 'not', 'at', 'training', 'today', 'and', 'was', 'asked', 'to', 'apologise', 'by', 'French', 'Football', 'Federation', 'president', 'Jean-Pierre', 'Escalettes', '.', 'Upon', 'refusing', 'to', 'do', 'so', ',', 'was', 'asked', 'to', 'leave', 'the', 'squad', '.', '""', 'He', 'will', 'leave', 'the', 'Team', 'France', 'camp', 'this', 'evening', ',', '""', 'said', 'an', 'FFF', 'statement', '.', 'The', 'Chelsea', 'forward', ',', 'who', 'has', 'now', 'not', 'recorded', 'a', 'shot', 'on', 'target', 'in', '429', 'consecutive', 'minutes', ""'"", 'play', 'for', 'Les', 'Bleus', ',', 'was', 'apparently', 'criticised', 'by', 'Domenech', 'for', 'straying', 'out', 'of', 'position', 'during', 'a', 'goalless', 'first', 'half', '.', 'According', 'to', 'French', 'sports', 'newspaper', ""L'Equipe"", 'Anelka', 'exploded', 'in', 'rage', 'in', 'the', 'dressing', 'room', ',', 'verbally', 'abusing', 'the', 'coach', '.', 'He', 'is', 'reported', 'to', 'have', 'said', ',', '""', 'Go', 'fuck', 'yourself', 'you', 'son', 'of', 'a', 'whore', '.', '""', 'The', 'coach', 'returned', 'to', 'the', 'team', ""'s"", 'dug-out', 'for', 'the', 'second', 'half', 'at', 'the', 'Peter', 'Mokaba', 'Stadium', 'in', 'Polokwane', 'a', 'good', 'minute', 'or']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]","The Chelsea forward, who has now not recorded a shot on target in 429 consecutive minutes' play for Les Bleus, was apparently criticised by Domenech for straying out of position during a goalless first half.","['The', 'Chelsea', 'forward', ',', 'who', 'has', 'now', 'not', 'recorded', 'a', 'shot', 'on', 'target', 'in', '429', 'consecutive', 'minutes', ""'"", 'play', 'for', 'Les', 'Bleus', ',', 'was', 'apparently', 'criticised', 'by', 'Domenech', 'for', 'straying', 'out', 'of', 'position', 'during', 'a', 'goalless', 'first', 'half', '.']",0,0_football_matches,oZ2Rt83XfriRiPjbxoKo3X,other_seminal_event-1,IDENTITY,fifa_world_cup_2010_tournament,0/oZ2Rt83XfriRiPjbxoKo3X/d0428e8e9
