,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,40b69cf630792394ef837aee6c959ece,29997179479991009991,,MIS,MISC,dies
1,40b69cf630792394ef837aee6c959ece,2999717947999115999857875,,MIS,MISC,shooting
2,40b69cf630792394ef837aee6c959ece,29997179479991009991,,MIS,MISC,killed
3,40b69cf630792394ef837aee6c959ece,2999717947999115999857875,,MIS,MISC,sprayed with bullets
4,40b69cf630792394ef837aee6c959ece,299971794799998999657676,,MIS,MISC,shooting
5,40b69cf630792394ef837aee6c959ece,29997179479991049992,,MIS,MISC,shot
6,40b69cf630792394ef837aee6c959ece,29997179479991009991,,MIS,MISC,died
7,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,killing
8,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,fatal
9,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,shooting
10,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,fatal
11,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,murder
12,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,murder
13,c22d0dfcbf660d12fa8dc457a082887d,29995712109991049991,,MIS,MISC,shot
14,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,shooting
15,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,shooting
16,c22d0dfcbf660d12fa8dc457a082887d,0,,MIS,MISC,killing
17,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,went off
18,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,went off
19,c22d0dfcbf660d12fa8dc457a082887d,29995712109991059991,,MIS,MISC,bleeding
20,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,gunshot
21,c22d0dfcbf660d12fa8dc457a082887d,29995712109991059991,,MIS,MISC,bleeding
22,c22d0dfcbf660d12fa8dc457a082887d,29995712109991059991,,MIS,MISC,blood
23,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,killing
24,c22d0dfcbf660d12fa8dc457a082887d,29995712109991009991,,MIS,MISC,killed
25,c22d0dfcbf660d12fa8dc457a082887d,0,,MIS,MISC,killed
26,c22d0dfcbf660d12fa8dc457a082887d,2999571210999115999857875,,MIS,MISC,shooting
27,c22d0dfcbf660d12fa8dc457a082887d,0,,MIS,MISC,shooting
28,c22d0dfcbf660d12fa8dc457a082887d,299957121099998999657676,,MIS,MISC,this
29,c22d0dfcbf660d12fa8dc457a082887d,0,,MIS,MISC,this
30,c22d0dfcbf660d12fa8dc457a082887d,299957121099998999657676,,MIS,MISC,shooting
31,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991059991,,MIS,MISC,injured
32,6f9b5494e8f98339a73a1012f7eea4b4,2999601037999115999857875,,MIS,MISC,shooting
33,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991009991,,MIS,MISC,died
34,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991009991,,MIS,MISC,died
35,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991059991,,MIS,MISC,injured
36,6f9b5494e8f98339a73a1012f7eea4b4,2999601037999115999857875,,MIS,MISC,gunshot
37,6f9b5494e8f98339a73a1012f7eea4b4,299960103799998999657676,,MIS,MISC,incident
38,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991009991,,MIS,MISC,died
39,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991009991,,MIS,MISC,dead
40,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991009991,,MIS,MISC,body
41,6f9b5494e8f98339a73a1012f7eea4b4,29996010379991009991,,MIS,MISC,body
42,6f9b5494e8f98339a73a1012f7eea4b4,299960103799998999657676,,MIS,MISC,incident
