,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,108294_Government_Accountability_Office_requests_rerun_of_US_Air_Force_tanker_bid,cross_intra_OTH40014340782068576,award VUA,OTH,EVENT_MENTION,award
1,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40012892908022737,commitment VUA,OTH,EVENT_MENTION,commitment
2,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_OTH40008686172178296,operation VUA,OTH,EVENT_MENTION,operations
3,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_OTH40007248568632246,defeat VUA,OTH,EVENT_MENTION,defeated
4,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_OTH40007248568632246,defeat VUA,OTH,EVENT_MENTION,defeat
5,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_OTH40007248568632246,defeat VUA,OTH,EVENT_MENTION,defeated
6,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_SPE40011876827379708,tell VUA,SPE,EVENT_MENTION,told
7,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_OTH40008523134673070,fight VUA,OTH,EVENT_MENTION,fought
8,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40013735438821796,base VUA,OTH,EVENT_MENTION,bases
9,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40014177204437470,favor VUA,OTH,EVENT_MENTION,favored
10,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH41485093717500004,promising-VUA-Boeing Jobs,OTH,EVENT_MENTION,promising
11,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40013104999803993,challenge VUA,OTH,EVENT_MENTION,challenged
12,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40013941549790830,tap VUA,OTH,EVENT_MENTION,tapped
13,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_OTH40009451639438359,win VUA,OTH,EVENT_MENTION,winning
14,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_SPE40012577617384565,announce VUA,SPE,EVENT_MENTION,announced
15,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_OTH40008832085658797,supply VUA,OTH,EVENT_MENTION,supply
16,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_FIN39498128122418767,the biggest contract,FIN,ENTITY_MENTION,the biggest contract of its kind
17,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop
18,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,us
19,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
20,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
21,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,we
22,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,we
23,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,we
24,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
25,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,we
26,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_intra_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
27,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
28,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
