,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,que
1,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
2,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
3,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
4,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
5,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,del fabricante europeo de aviones
6,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
7,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,del fabricante europeo de aviones Airbus
8,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
9,106653_Boeing_pushes_back_737_replacement_development,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
10,106653_Boeing_pushes_back_737_replacement_development,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,su
11,128016_China_Eastern_Airlines_to_purchase_twenty_new_Airbus_A320_jets,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
12,128016_China_Eastern_Airlines_to_purchase_twenty_new_Airbus_A320_jets,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
13,145930_Boeing_787_Dreamliner_makes_maiden_flight,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
14,145930_Boeing_787_Dreamliner_makes_maiden_flight,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,El rival europeo de Boeing
15,149731_Technical_problem_on_Airbus_A400M_maiden_flight,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
16,149731_Technical_problem_on_Airbus_A400M_maiden_flight,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,su
17,149731_Technical_problem_on_Airbus_A400M_maiden_flight,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
18,149731_Technical_problem_on_Airbus_A400M_maiden_flight,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
19,3307_Airbus_launches_world_largest_passenger_plane,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,La empresa aeronáutica
20,3307_Airbus_launches_world_largest_passenger_plane,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,La empresa aeronáutica Airbus
21,3307_Airbus_launches_world_largest_passenger_plane,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
22,3307_Airbus_launches_world_largest_passenger_plane,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
23,3307_Airbus_launches_world_largest_passenger_plane,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
24,3307_Airbus_launches_world_largest_passenger_plane,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,La compañía
25,4764_Boeing_unveils_long-range_777,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,su
26,4764_Boeing_unveils_long-range_777,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,"Airbus , la rival europea de Boeing"
27,4764_Boeing_unveils_long-range_777,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,que
28,4764_Boeing_unveils_long-range_777,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
29,4764_Boeing_unveils_long-range_777,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,la rival europea de Boeing
30,51682_Singapore_Airlines_to_be_compensated_for_A380_delays,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
31,51682_Singapore_Airlines_to_be_compensated_for_A380_delays,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,sus
32,51682_Singapore_Airlines_to_be_compensated_for_A380_delays,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
33,51682_Singapore_Airlines_to_be_compensated_for_A380_delays,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,la empresa
34,51682_Singapore_Airlines_to_be_compensated_for_A380_delays,cross_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
35,62929_A380_makes_maiden_flight_to_US,cross_intra_ORG37154719430036883,Airbus,ORG,ENTITY_MENTION,Airbus
