,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,107785_Apple_launches_3G_iPhone,cross_intra_PRO19274272065484084,IPHONE (GENERIC),PRO,ENTITY_MENTION,dell' iPhone
1,107785_Apple_launches_3G_iPhone,cross_intra_PRO19274272065484084,IPHONE (GENERIC),PRO,ENTITY_MENTION,del proprio dispositivo iPhone
2,107785_Apple_launches_3G_iPhone,cross_intra_PRO19274272065484084,IPHONE (GENERIC),PRO,ENTITY_MENTION,iPhone
3,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes di Apple
4,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,il servizio per scaricare musica di Apple Computer
5,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,"iTunes , il servizio per scaricare musica di Apple Computer"
6,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
7,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Store
8,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,suo
9,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Store
10,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Store di Apple
11,103623_Apples_iTunes_replaces,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,secondo rivenditore di musica negli Stati Uniti
12,103623_Apples_iTunes_replaces,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes di Apple
13,23468_Apple_plans_another_special_event,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Music Store
14,265977_Apple_announces_Mac_OS_X_Lion_iOS_5_and_iCloud,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
15,37313_Beatles_Apple_Corps,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Music Store
16,37313_Beatles_Apple_Corps,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Music Store di Apple Computer
17,37313_Beatles_Apple_Corps,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,che
18,37313_Beatles_Apple_Corps,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,il suo iTunes Music Store
19,37313_Beatles_Apple_Corps,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Music Store
20,43503_Apple_plans_to_sell_movies_on_iTunes,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
21,43503_Apple_plans_to_sell_movies_on_iTunes,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Music Store
22,43503_Apple_plans_to_sell_movies_on_iTunes,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,Il negozio
23,43503_Apple_plans_to_sell_movies_on_iTunes,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
24,43503_Apple_plans_to_sell_movies_on_iTunes,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
25,43503_Apple_plans_to_sell_movies_on_iTunes,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
26,43503_Apple_plans_to_sell_movies_on_iTunes,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,il più grande rivenditore online di musica digitale
27,43503_Apple_plans_to_sell_movies_on_iTunes,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,suo
28,78899_Apple_announces_new_iPod_range,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,lo store online leader di mercato di Apple
29,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,sul suo iTunes store del Regno Unito
30,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,"sul suo iTunes store del Regno Unito , il negozio di media online di Apple"
31,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,un negozio di musica on-line
32,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Music Store
33,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,"iTunes Music Store , un negozio di musica on-line"
34,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,Il negozio
35,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes Store
36,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,iTunes
37,89284_Apple_to_lower_UK_iTunes_prices,cross_intra_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,il negozio di media online di Apple
38,89284_Apple_to_lower_UK_iTunes_prices,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,il negozio
39,89284_Apple_to_lower_UK_iTunes_prices,cross_PRO19274271475601598,iTunes music store,PRO,ENTITY_MENTION,suo
40,103623_Apples_iTunes_replaces,cross_intra_ORG19274271187160719,APPLE,ORG,ENTITY_MENTION,la società
41,103623_Apples_iTunes_replaces,cross_intra_ORG19274271187160719,APPLE,ORG,ENTITY_MENTION,Apple Computer
42,103623_Apples_iTunes_replaces,cross_intra_ORG19274271187160719,APPLE,ORG,ENTITY_MENTION,principale rivenditore musicale degli Stati Uniti
43,103623_Apples_iTunes_replaces,cross_intra_ORG19274271187160719,APPLE,ORG,ENTITY_MENTION,Apple
44,103623_Apples_iTunes_replaces,cross_intra_ORG19274271187160719,APPLE,ORG,ENTITY_MENTION,Apple
45,103623_Apples_iTunes_replaces,cross_intra_ORG19274271187160719,APPLE,ORG,ENTITY_MENTION,Apple
