,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40014340782068576,award VUA,OTH,EVENT_MENTION,toekenning
1,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40014340782068576,award VUA,OTH,EVENT_MENTION,toegewezen
2,108294_Government_Accountability_Office_requests_rerun_of_US_Air_Force_tanker_bid,cross_OTH40014340782068576,award VUA,OTH,EVENT_MENTION,toekenning
3,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_SPE40012242450436873,deny VUA,SPE,EVENT_MENTION,ontkende
4,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40012124720134933,hit VUA,OTH,EVENT_MENTION,hebben
5,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_SPE40011676691850905,say VUA,SPE,EVENT_MENTION,zei
6,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_SPE40890192004644381,comment VUA,SPE,EVENT_MENTION,zei
7,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40012892908022737,commitment VUA,OTH,EVENT_MENTION,beleid
8,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40008686172178296,operation VUA,OTH,EVENT_MENTION,Maintenance Repair Overhaul-activiteiten
9,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40007248568632246,defeat VUA,OTH,EVENT_MENTION,verslagen
10,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40007248568632246,defeat VUA,OTH,EVENT_MENTION,verslaan
11,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_OTH40007248568632246,defeat VUA,OTH,EVENT_MENTION,versloegen
12,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40008523134673070,fight VUA,OTH,EVENT_MENTION,ging
13,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40013735438821796,base VUA,OTH,EVENT_MENTION,gevestigd
14,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40014177204437470,favor VUA,OTH,EVENT_MENTION,voorkeur gaf
15,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH41485093717500004,promising-VUA-Boeing Jobs,OTH,EVENT_MENTION,beloofd
16,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40013104999803993,challenge VUA,OTH,EVENT_MENTION,aangevochten
17,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40013941549790830,tap VUA,OTH,EVENT_MENTION,gekozen
18,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40009451639438359,win VUA,OTH,EVENT_MENTION,kreeg
19,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_SPE40012577617384565,announce VUA,SPE,EVENT_MENTION,aangekondigd
20,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40008832085658797,supply VUA,OTH,EVENT_MENTION,opgeleverd
21,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_OTH40008832085658797,supply VUA,OTH,EVENT_MENTION,leveren
22,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
23,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
24,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop
25,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
26,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,we
27,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,we
28,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
29,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
30,102977_Airbus_parent_EADS_wins_13_billion_UK_RAF_airtanker_contract,cross_ORG37154720130514282,Northrop Grumman,ORG,ENTITY_MENTION,Northrop Grumman
31,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_FIN39498038043532812,JSF contract,FIN,ENTITY_MENTION,het Joint Strike Fighter-programma
32,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_FIN39498038043532812,JSF contract,FIN,ENTITY_MENTION,dat contract
33,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_FIN39498038043532812,JSF contract,FIN,ENTITY_MENTION,het contract
34,100911_Northrop_Grumman_and_Airbus_parent_EADS_defeat_Boeing,cross_PER37154720797907240,Louis Gallois,PER,ENTITY_MENTION,Topman Louis Gallois van EADS
35,"61389_Airbus_announces_job_cuts_of_10,000",cross_PER37154720797907240,Louis Gallois,PER,ENTITY_MENTION,Louis Gallois
36,"61389_Airbus_announces_job_cuts_of_10,000",cross_PER37154720797907240,Louis Gallois,PER,ENTITY_MENTION,CEO van Airbus
37,"61389_Airbus_announces_job_cuts_of_10,000",cross_PER37154720797907240,Louis Gallois,PER,ENTITY_MENTION,hij
38,"61389_Airbus_announces_job_cuts_of_10,000",cross_PER37154720797907240,Louis Gallois,PER,ENTITY_MENTION,Gallois
