,topic/subtopic_name/doc,sent_id,token_id,token,reference
0,0/100911/english100911,0,0,Northrop,(ORG5fBXPiVrdArYa5L9o| (ORG37154720130514282
1,0/100911/english100911,0,1,Grumman,ORG37154720130514282)
2,0/100911/english100911,0,2,and,-
3,0/100911/english100911,0,3,Airbus,(ORG37154720003835631| (ORG37154719430036883)
4,0/100911/english100911,0,4,parent,-
5,0/100911/english100911,0,5,EADS,(ORG37154720003835631)| ORG37154720003835631)| ORG5fBXPiVrdArYa5L9o)
6,0/100911/english100911,0,6,defeat,(OTH40007248568632246)
7,0/100911/english100911,0,7,Boeing,(ORG37154719725500990)
8,0/100911/english100911,0,8,for,-
9,0/100911/english100911,0,9,$,(FIN39498080489558939
10,0/100911/english100911,0,10,40,-
11,0/100911/english100911,0,11,billion,-
12,0/100911/english100911,0,12,US,-
13,0/100911/english100911,0,13,airtanker,-
14,0/100911/english100911,0,14,contract,FIN39498080489558939)
15,0/100911/english100911,1,0,March,-
16,0/100911/english100911,1,1,01,-
17,0/100911/english100911,1,2,",",-
18,0/100911/english100911,1,3,2008,-
19,0/100911/english100911,2,0,Northrop,(ORG5fBXPiVrdArYa5L9o| (ORG37154720130514282
20,0/100911/english100911,2,1,Grumman,ORG37154720130514282)
21,0/100911/english100911,2,2,and,-
22,0/100911/english100911,2,3,Airbus,(ORG37154720003835631| (ORG37154720003835631| (ORG37154719430036883)
23,0/100911/english100911,2,4,parent,-
24,0/100911/english100911,2,5,company,-
25,0/100911/english100911,2,6,European,-
26,0/100911/english100911,2,7,Aeronautic,-
27,0/100911/english100911,2,8,Defence,-
28,0/100911/english100911,2,9,and,-
29,0/100911/english100911,2,10,Space,-
30,0/100911/english100911,2,11,Company,-
31,0/100911/english100911,2,12,EADS,-
32,0/100911/english100911,2,13,N.V.,ORG37154720003835631)
33,0/100911/english100911,2,14,(,-
34,0/100911/english100911,2,15,EADS,(ORG37154720003835631)| ORG37154720003835631)| ORG5fBXPiVrdArYa5L9o)
35,0/100911/english100911,2,16,),-
36,0/100911/english100911,2,17,have,-
37,0/100911/english100911,2,18,unexpectedly,-
38,0/100911/english100911,2,19,defeated,(OTH40007248568632246)
39,0/100911/english100911,2,20,Boeing,(ORG37154719725500990)
40,0/100911/english100911,2,21,for,-
41,0/100911/english100911,2,22,a,(FIN39498080489558939
42,0/100911/english100911,2,23,US$,-
43,0/100911/english100911,2,24,40,-
44,0/100911/english100911,2,25,billion,-
45,0/100911/english100911,2,26,(,-
46,0/100911/english100911,2,27,GB,-
47,0/100911/english100911,2,28,#,-
48,0/100911/english100911,2,29,20.1,-
49,0/100911/english100911,2,30,billion,-
50,0/100911/english100911,2,31,),-
51,0/100911/english100911,2,32,contract,FIN39498080489558939)
52,0/100911/english100911,2,33,to,-
53,0/100911/english100911,2,34,supply,(OTH40008832085658797)
54,0/100911/english100911,2,35,the,(ORG37154720392556611
55,0/100911/english100911,2,36,United,-
56,0/100911/english100911,2,37,States,-
57,0/100911/english100911,2,38,Air,-
58,0/100911/english100911,2,39,Force,-
59,0/100911/english100911,2,40,(,-
60,0/100911/english100911,2,41,USAF,(ORG37154720392556611)| ORG37154720392556611)
61,0/100911/english100911,2,42,),-
62,0/100911/english100911,2,43,with,-
63,0/100911/english100911,2,44,179,(PRO39498261379485028
64,0/100911/english100911,2,45,new,-
65,0/100911/english100911,2,46,aerial,(PRO39496959734511487
66,0/100911/english100911,2,47,refueling,-
67,0/100911/english100911,2,48,tankers,PRO39496959734511487)| PRO39498261379485028)
68,0/100911/english100911,2,49,at,-
69,0/100911/english100911,2,50,a,-
70,0/100911/english100911,2,51,rate,-
71,0/100911/english100911,2,52,of,-
72,0/100911/english100911,2,53,15,-
73,0/100911/english100911,2,54,a,-
74,0/100911/english100911,2,55,year,-
75,0/100911/english100911,2,56,.,-
76,0/100911/english100911,3,0,It,(FIN39498080489558939)
77,0/100911/english100911,3,1,is,(GRAWcPP8A9i8VS4vqefy)
78,0/100911/english100911,3,2,the,(FIN39498128122418767
79,0/100911/english100911,3,3,biggest,-
80,0/100911/english100911,3,4,contract,-
81,0/100911/english100911,3,5,of,-
82,0/100911/english100911,3,6,its,-
83,0/100911/english100911,3,7,kind,FIN39498128122418767)
84,0/100911/english100911,3,8,since,-
