,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,381790newsML_words,set_1,,MIS,MISC,three rebel towns
1,381790newsML_words,set_2,,MIS,MISC,air offensive
2,381790newsML_words,set_0,,MIS,MISC,Zaire
3,381790newsML_words,set_13,,MIS,MISC,Monday
4,381790newsML_words,set_0,,MIS,MISC,its
5,381790newsML_words,set_7,,MIS,MISC,its warplanes
6,381790newsML_words,set_1,,MIS,MISC,three key rebel-held towns in eastern Zaire
7,381790newsML_words,set_2,,MIS,MISC,the air war
8,381790newsML_words,set_3,,MIS,MISC,Zaire army
9,381790newsML_words,set_3,,MIS,MISC,the FAZ (Zaire army
10,381790newsML_words,set_12,,MIS,MISC,Bukavu
11,381790newsML_words,set_6,,MIS,MISC,Walikale
12,381790newsML_words,set_1,,MIS,MISC,"Bukavu, Shabunda and Walikale"
13,381790newsML_words,set_5,,MIS,MISC,A senior defence ministry official
14,381790newsML_words,set_4,,MIS,MISC,the biggest city in rebel hands
15,381790newsML_words,set_4,,MIS,MISC,"Goma, the biggest city in rebel hands"
16,381790newsML_words,set_5,,MIS,MISC,He
17,381790newsML_words,set_3,,MIS,MISC,the army
18,381790newsML_words,set_6,,MIS,MISC,Walikale
19,381790newsML_words,set_6,,MIS,MISC,Walikale
20,381790newsML_words,set_3,,MIS,MISC,the army
21,381790newsML_words,set_3,,MIS,MISC,we
22,381790newsML_words,set_5,,MIS,MISC,"the official, who asked not to be named"
23,381790newsML_words,set_5,,MIS,MISC,He
24,381790newsML_words,set_7,,MIS,MISC,the planes
25,381790newsML_words,set_0,,MIS,MISC,Zaire
26,381790newsML_words,set_8,,MIS,MISC,the headquarters for Zaire's counter-offensive launched last month to retake a vast stretch of territory seized by Tutsi-led rebels who took up arms in October
27,381790newsML_words,set_8,,MIS,MISC,"Kisangani, the headquarters for Zaire's counter-offensive launched last month to retake a vast stretch of territory seized by Tutsi-led rebels who took up arms in October"
28,381790newsML_words,set_2,,MIS,MISC,It
29,381790newsML_words,set_10,,MIS,MISC,the enemy's strategic and military targets
30,381790newsML_words,set_9,,MIS,MISC,the defence ministry statement
31,381790newsML_words,set_2,,MIS,MISC,the bombings
32,381790newsML_words,set_9,,MIS,MISC,It
33,381790newsML_words,set_1,,MIS,MISC,the towns
34,381790newsML_words,set_10,,MIS,MISC,the targets
35,381790newsML_words,set_9,,MIS,MISC,it
36,381790newsML_words,set_11,,MIS,MISC,MSF-Holland
37,381790newsML_words,set_11,,MIS,MISC,The medical charity Medecins sans Frontieres (MSF-Holland
38,381790newsML_words,set_4,,MIS,MISC,the nearby city of Goma
39,381790newsML_words,set_12,,MIS,MISC,Bukavu
40,381790newsML_words,set_13,,MIS,MISC,Monday
41,381791newsML_words,set_13,,MIS,MISC,Zaire planes
42,381791newsML_words,set_1,,MIS,MISC,rebels
43,381791newsML_words,set_4,,MIS,MISC,war
44,381791newsML_words,set_0,,MIS,MISC,Zaire
45,381791newsML_words,set_2,,MIS,MISC,Zaire's government
46,381791newsML_words,set_8,,MIS,MISC,Monday
47,381791newsML_words,set_0,,MIS,MISC,the country
48,381791newsML_words,set_9,,MIS,MISC,the country's east
49,381791newsML_words,set_1,,MIS,MISC,rebels who have captured much of the country's east
50,381791newsML_words,set_10,,MIS,MISC,rebel-held towns
51,381791newsML_words,set_5,,MIS,MISC,one town
52,381791newsML_words,set_2,,MIS,MISC,The government
53,381791newsML_words,set_2,,MIS,MISC,it
54,381791newsML_words,set_3,,MIS,MISC,Foreign Minister Kamanda wa Kamanda
55,381791newsML_words,set_3,,MIS,MISC,he
56,381791newsML_words,set_4,,MIS,MISC,the war
57,381791newsML_words,set_29,,MIS,MISC,"U.N. special envoy Mohammed Sahnoun, who is trying to end the war"
58,381791newsML_words,set_2,,MIS,MISC,Zaire
59,381791newsML_words,set_2,,MIS,MISC,its
60,381791newsML_words,set_6,,MIS,MISC,last October
61,381791newsML_words,set_1,,MIS,MISC,Tutsi-led rebels who have made large territorial conquests since taking up arms last October
62,381791newsML_words,set_5,,MIS,MISC,"Bukavu, where the dead were reported"
63,381791newsML_words,set_7,,MIS,MISC,"The bombing of Bukavu, where the dead were reported"
64,381791newsML_words,set_1,,MIS,MISC,rebels
65,381791newsML_words,set_6,,MIS,MISC,last October
66,381791newsML_words,set_0,,MIS,MISC,the vast central African nation
67,381791newsML_words,set_7,,MIS,MISC,the first government aerial attack confirmed by independent sources since rebels launched a military campaign last October and seized a large swath of territory in the vast central African nation
68,381791newsML_words,set_2,,MIS,MISC,Zaire
