,topic/subtopic_name/doc,sent_id,token_id,token,reference
0,0/0/0_L,0,0,WEST,-
1,0/0/0_L,0,1,PALM,-
2,0/0/0_L,0,2,BEACH,-
3,0/0/0_L,0,3,",",-
4,0/0/0_L,0,4,Fla.,-
5,0/0/0_L,0,5,—,-
6,0/0/0_L,0,6,President,(0_USA_Trump_ACTOR
7,0/0/0_L,0,7,Trump,0_USA_Trump_ACTOR)
8,0/0/0_L,0,8,dispatched,-
9,0/0/0_L,0,9,the,-
10,0/0/0_L,0,10,C.I.A.,(0_USA_COUNTRY
11,0/0/0_L,0,11,director,0_USA_COUNTRY)
12,0/0/0_L,0,12,Mike,(0_USA_Mike_Pompeo_ACTOR
13,0/0/0_L,0,13,Pompeo,0_USA_Mike_Pompeo_ACTOR)
14,0/0/0_L,0,14,to,-
15,0/0/0_L,0,15,North,(0_PRK_COUNTRY
16,0/0/0_L,0,16,Korea,0_PRK_COUNTRY)
17,0/0/0_L,0,17,to,(0_Trip_to_PRK_ACTION
18,0/0/0_L,0,18,meet,-
19,0/0/0_L,0,19,with,-
20,0/0/0_L,0,20,its,-
21,0/0/0_L,0,21,leader,0_Trip_to_PRK_ACTION)
22,0/0/0_L,0,22,",",-
23,0/0/0_L,0,23,Kim,(0_PRK_Jong_Un_ACTOR
24,0/0/0_L,0,24,Jong,-
25,0/0/0_L,0,25,-,-
26,0/0/0_L,0,26,un,0_PRK_Jong_Un_ACTOR)
27,0/0/0_L,0,27,",",-
28,0/0/0_L,0,28,in,-
29,0/0/0_L,0,29,recent,-
30,0/0/0_L,0,30,weeks,-
31,0/0/0_L,0,31,to,(0_Trip_to_PRK_ACTION
32,0/0/0_L,0,32,lay,-
33,0/0/0_L,0,33,the,-
34,0/0/0_L,0,34,groundwork,-
35,0/0/0_L,0,35,for,-
36,0/0/0_L,0,36,a,-
37,0/0/0_L,0,37,summit,(0_PRK_USA_Summit_EVENT
38,0/0/0_L,0,38,meeting,0_PRK_USA_Summit_EVENT)| 0_Trip_to_PRK_ACTION)
39,0/0/0_L,0,39,between,-
40,0/0/0_L,0,40,Mr.,(0_PRK_Jong_Un_ACTOR
41,0/0/0_L,0,41,Kim,0_PRK_Jong_Un_ACTOR)
42,0/0/0_L,0,42,and,-
43,0/0/0_L,0,43,Mr.,(0_USA_Trump_ACTOR
44,0/0/0_L,0,44,Trump,0_USA_Trump_ACTOR)
45,0/0/0_L,0,45,",",-
46,0/0/0_L,0,46,two,-
47,0/0/0_L,0,47,people,-
48,0/0/0_L,0,48,briefed,-
49,0/0/0_L,0,49,on,-
50,0/0/0_L,0,50,the,-
51,0/0/0_L,0,51,secret,-
52,0/0/0_L,0,52,trip,-
53,0/0/0_L,0,53,said,-
54,0/0/0_L,0,54,on,-
55,0/0/0_L,0,55,Tuesday,-
56,0/0/0_L,0,56,.,-
57,0/0/0_L,1,0,\n,-
58,0/0/0_L,1,1,Mr.,(0_USA_Trump_ACTOR
59,0/0/0_L,1,2,Trump,0_USA_Trump_ACTOR)
60,0/0/0_L,1,3,alluded,-
61,0/0/0_L,1,4,to,-
62,0/0/0_L,1,5,Mr.,(0_USA_Mike_Pompeo_ACTOR
63,0/0/0_L,1,6,Pompeo,0_USA_Mike_Pompeo_ACTOR)
64,0/0/0_L,1,7,'s,-
65,0/0/0_L,1,8,mission,-
66,0/0/0_L,1,9,when,-
67,0/0/0_L,1,10,he,-
68,0/0/0_L,1,11,said,-
69,0/0/0_L,1,12,on,-
70,0/0/0_L,1,13,Tuesday,-
71,0/0/0_L,1,14,afternoon,-
72,0/0/0_L,1,15,that,-
73,0/0/0_L,1,16,the,-
74,0/0/0_L,1,17,United,(0_USA_COUNTRY
75,0/0/0_L,1,18,States,0_USA_COUNTRY)
76,0/0/0_L,1,19,was,-
77,0/0/0_L,1,20,in,(0_Trip_to_PRK_ACTION
78,0/0/0_L,1,21,direct,-
79,0/0/0_L,1,22,talks,-
80,0/0/0_L,1,23,with,-
81,0/0/0_L,1,24,North,(0_PRK_COUNTRY
82,0/0/0_L,1,25,Korea,0_PRK_COUNTRY)
83,0/0/0_L,1,26,at,-
84,0/0/0_L,1,27,"""",-
85,0/0/0_L,1,28,extremely,-
86,0/0/0_L,1,29,high,-
87,0/0/0_L,1,30,levels,-
88,0/0/0_L,1,31,",",-
89,0/0/0_L,1,32,"""",0_Trip_to_PRK_ACTION)
90,0/0/0_L,1,33,and,-
91,0/0/0_L,1,34,that,-
92,0/0/0_L,1,35,the,-
93,0/0/0_L,1,36,White,(0_USA_COUNTRY
94,0/0/0_L,1,37,House,0_USA_COUNTRY)
95,0/0/0_L,1,38,was,-
96,0/0/0_L,1,39,looking,-
97,0/0/0_L,1,40,at,-
98,0/0/0_L,1,41,five,-
99,0/0/0_L,1,42,sites,-
100,0/0/0_L,1,43,for,-
101,0/0/0_L,1,44,a,(0_PRK_USA_Summit_EVENT
102,0/0/0_L,1,45,potential,-
103,0/0/0_L,1,46,meeting,-
104,0/0/0_L,1,47,of,-
105,0/0/0_L,1,48,the,-
106,0/0/0_L,1,49,two,-
107,0/0/0_L,1,50,leaders,0_PRK_USA_Summit_EVENT)
108,0/0/0_L,1,51,.,-
109,0/0/0_L,2,0,\n,-
110,0/0/0_L,2,1,The,-
111,0/0/0_L,2,2,White,(0_USA_COUNTRY
112,0/0/0_L,2,3,House,0_USA_COUNTRY)
113,0/0/0_L,2,4,has,-
114,0/0/0_L,2,5,used,-
115,0/0/0_L,2,6,intelligence,-
116,0/0/0_L,2,7,",",-
117,0/0/0_L,2,8,rather,-
118,0/0/0_L,2,9,than,-
119,0/0/0_L,2,10,diplomatic,-
120,0/0/0_L,2,11,channels,-
121,0/0/0_L,2,12,",",-
122,0/0/0_L,2,13,to,-
123,0/0/0_L,2,14,communicate,-
124,0/0/0_L,2,15,with,-
125,0/0/0_L,2,16,North,(0_PRK_COUNTRY
126,0/0/0_L,2,17,Korea,0_PRK_COUNTRY)
127,0/0/0_L,2,18,",",-
128,0/0/0_L,2,19,ever,-
129,0/0/0_L,2,20,since,-
130,0/0/0_L,2,21,last,-
131,0/0/0_L,2,22,month,-
132,0/0/0_L,2,23,",",-
133,0/0/0_L,2,24,when,-
134,0/0/0_L,2,25,Mr.,(0_USA_Trump_ACTOR
135,0/0/0_L,2,26,Trump,0_USA_Trump_ACTOR)
136,0/0/0_L,2,27,unexpectedly,-
137,0/0/0_L,2,28,accepted,-
138,0/0/0_L,2,29,Mr.,(0_PRK_USA_Summit_EVENT| (0_PRK_Jong_Un_ACTOR
139,0/0/0_L,2,30,Kim,0_PRK_Jong_Un_ACTOR)
140,0/0/0_L,2,31,'s,-
