,doc_id,coref_chain,description,mention_type,mention_full_type,tokens_str
0,20111107.near2_381790newsML,entity6,political entity,,,Zaire
1,20111107.near2_381790newsML,entity3,,,,three rebel towns
2,20111107.near2_381790newsML,entity5,,,,air offensive
3,20111107.near2_381790newsML,entity6,,,,Zaire
4,20111107.near2_381790newsML,entity7,,,,Monday
5,20111107.near2_381790newsML,entity8,,,,its warplanes
6,20111107.near2_381790newsML,entity6,,,,its
7,20111107.near2_381790newsML,entity3,,,,three key rebel-held towns in eastern Zaire
8,20111107.near2_381790newsML,entity500,,,,eastern Zaire
9,20111107.near2_381790newsML,entity6,geographical entity,,,Zaire
10,20111107.near2_381790newsML,entity5,,,,the air war
11,20111107.near2_381790newsML,entity501,,,,this morning
12,20111107.near2_381790newsML,entity2,,,,the FAZ (Zaire army)
13,20111107.near2_381790newsML,entity502,,,,(Zaire army)
14,20111107.near2_381790newsML,entity3,,,,"Bukavu, Shabunda and Walikale"
15,20111107.near2_381790newsML,entity0,,,,Bukavu
16,20111107.near2_381790newsML,entity503,,,,Shabunda
17,20111107.near2_381790newsML,entity9,,,,Walikale
18,20111107.near2_381790newsML,entity1,,,,a defence ministry statement in the capital Kinshasa
19,20111107.near2_381790newsML,entity504,,,,the capital Kinshasa
20,20111107.near2_381790newsML,entity4,,,,A senior defence ministry official
21,20111107.near2_381790newsML,entity10,,,,"Goma, the biggest city in rebel hands"
22,20111107.near2_381790newsML,entity505,,,,the biggest city in rebel hands
23,20111107.near2_381790newsML,entity506,,,,rebel hands
24,20111107.near2_381790newsML,entity507,,,,the hit list
25,20111107.near2_381790newsML,entity4,,,,He
26,20111107.near2_381790newsML,entity2,,,,the army
27,20111107.near2_381790newsML,entity9,,,,Walikale
28,20111107.near2_381790newsML,entity9,,,,Walikale
29,20111107.near2_381790newsML,entity2,,,,the army
30,20111107.near2_381790newsML,entity2,,,,we
31,20111107.near2_381790newsML,entity508,,,,some pockets of resistance
32,20111107.near2_381790newsML,entity4,,,,"the official, who asked not to be named"
33,20111107.near2_381790newsML,entity4,,,,He
34,20111107.near2_381790newsML,entity509,,,,Reuters
35,20111107.near2_381790newsML,entity8,,,,the planes
36,20111107.near2_381790newsML,entity510,,,,"Kisangani, the headquarters for Zaire's counter-offensive launched last month to retake a vast stretch of territory seized by Tutsi-led rebels who took up arms in October"
37,20111107.near2_381790newsML,entity511,,,,the headquarters for Zaire's counter-offensive launched last month to retake a vast stretch of territory seized by Tutsi-led rebels who took up arms in October
38,20111107.near2_381790newsML,entity5,,,,Zaire's counter-offensive launched last month to retake a vast stretch of territory seized by Tutsi-led rebels who took up arms in October
39,20111107.near2_381790newsML,entity6,,,,Zaire's
40,20111107.near2_381790newsML,entity512,,,,last month
41,20111107.near2_381790newsML,entity513,,,,a vast stretch of territory seized by Tutsi-led rebels who took up arms in October
42,20111107.near2_381790newsML,entity514,,,,Tutsi-led rebels who took up arms in October
43,20111107.near2_381790newsML,entity515,,,,arms
44,20111107.near2_381790newsML,entity516,,,,October
45,20111107.near2_381790newsML,entity5,unsure if pleonastic,,,It
46,20111107.near2_381790newsML,entity517,,,,a surgical operation aimed at the enemy's strategic and military targets
47,20111107.near2_381790newsML,entity3,,,,the enemy's strategic and military targets
48,20111107.near2_381790newsML,entity1,,,,the defence ministry statement
49,20111107.near2_381790newsML,entity5,,,,the bombings
50,20111107.near2_381790newsML,entity1,,,,It
51,20111107.near2_381790newsML,entity518,,,,no mention of casualties or damage
52,20111107.near2_381790newsML,entity519,,,,no mention
53,20111107.near2_381790newsML,entity520,,,,casualties or damage
54,20111107.near2_381790newsML,entity521,,,,casualties
55,20111107.near2_381790newsML,entity522,,,,damage
56,20111107.near2_381790newsML,entity523,,,,Civilians in the towns
57,20111107.near2_381790newsML,entity3,,,,the towns
58,20111107.near2_381790newsML,entity3,,,,the targets
59,20111107.near2_381790newsML,entity1,,,,it
60,20111107.near2_381790newsML,entity524,,,,The medical charity Medecins sans Frontieres (MSF-Holland)
61,20111107.near2_381790newsML,entity525,,,,(MSF-Holland)
62,20111107.near2_381790newsML,entity10,,,,the nearby city of Goma
63,20111107.near2_381790newsML,entity526,,,,at_least nine people
64,20111107.near2_381790newsML,entity527,,,,up_to 37
65,20111107.near2_381790newsML,entity528,,,,a raid on Bukavu by three Zairean government jets on Monday
66,20111107.near2_381790newsML,entity0,,,,Bukavu
67,20111107.near2_381790newsML,entity529,,,,three Zairean government jets
68,20111107.near2_381790newsML,entity7,,,,Monday
69,20111107.near2_381791newsML,entity8,,,,Zaire planes
70,20111107.near2_381791newsML,entity3,,,,rebels
71,20111107.near2_381791newsML,entity14,,,,U.N.
72,20111107.near2_381791newsML,entity500,,,,war's end
73,20111107.near2_381791newsML,entity5,,,,war's
74,20111107.near2_381791newsML,entity7,,,,Zaire's government
75,20111107.near2_381791newsML,entity7,geographical entity,,,Zaire's
76,20111107.near2_381791newsML,entity25,,,,Monday
77,20111107.near2_381791newsML,entity33,,,,a ceasefire with rebels who have captured much of the country's east
78,20111107.near2_381791newsML,entity3,,,,rebels who have captured much of the country's east
79,20111107.near2_381791newsML,entity21,,,,much of the country's east
