,doc,subtopic,topic
0,Abu Nidal,KLM Flight 861,Airliner Accident
1,Mohammed bin Rashid Al Maktoum,KLM Flight 861,Airliner Accident
2,100 Grados,6th Platino Awards,Awards
3,Champions (2018 film),6th Platino Awards,Awards
4,Sin Querer Queriendo,6th Platino Awards,Awards
5,Renato Rascel,Eurovision Song Contest 1960,Contest
7,Un grand amour,Eurovision Song Contest 1960,Contest
8,François Deguelt,Eurovision Song Contest 1960,Contest
9,Katy Bødtger,Eurovision Song Contest 1960,Contest
10,Jacques Pills,Eurovision Song Contest 1960,Contest
11,Eurovision Song Contest 1961,Eurovision Song Contest 1960,Contest
13,Malcolm Vaughan,Eurovision Song Contest 1960,Contest
14,Harry Winter,Eurovision Song Contest 1960,Contest
15,Der K und K Kalypso aus Wien,Eurovision Song Contest 1960,Contest
16,Det var en yndig tid,Eurovision Song Contest 1960,Contest
17,Augustin (song),Eurovision Song Contest 1960,Contest
18,Netherlands in the Eurovision Song Contest,Eurovision Song Contest 1960,Contest
19,Wyn Hoop,Eurovision Song Contest 1960,Contest
20,Norway in the Eurovision Song Contest 2016,Eurovision Song Contest 1960,Contest
21,Phnom Penh,Phnom Penh stampede,Civilian Attack
22,Mam Sonando,Phnom Penh stampede,Civilian Attack
23,Billy Ocean,29th Annual Grammy Awards,Awards
24,Sledgehammer (Peter Gabriel song),29th Annual Grammy Awards,Awards
25,Dick Shurman,29th Annual Grammy Awards,Awards
27,Johnny's Theme,29th Annual Grammy Awards,Awards
28,Promesas,29th Annual Grammy Awards,Awards
29,The Makings of You,Portland Film Festival,Festival
30,Aimy in a Cage,Portland Film Festival,Festival
31,Sex Ed (film),Portland Film Festival,Festival
32,Luca Dipierro,Portland Film Festival,Festival
33,Sk8er Boi,2003 Kids' Choice Awards,Awards
34,Eurovision Song Contest 1971,Eurovision Song Contest 1970,Contest
35,RAI Amsterdam Convention Centre,Eurovision Song Contest 1970,Contest
36,"Pridi, dala ti bom cvet",Eurovision Song Contest 1970,Contest
37,David Gell,Eurovision Song Contest 1970,Contest
38,Ireland in the Eurovision Song Contest 2010,Eurovision Song Contest 1970,Contest
39,Mary Hopkin,Eurovision Song Contest 1970,Contest
40,Pieter Goemans,Eurovision Song Contest 1970,Contest
41,Liv Maessen,Eurovision Song Contest 1970,Contest
42,Diese Welt,Eurovision Song Contest 1970,Contest
43,Pat Carroll (singer),Eurovision Song Contest 1970,Contest
44,1997 Irish presidential election,Eurovision Song Contest 1970,Contest
45,Belgium in the Eurovision Song Contest 1978,Eurovision Song Contest 1970,Contest
46,Retour,Eurovision Song Contest 1970,Contest
47,Dana Rosemary Scallon,Eurovision Song Contest 1970,Contest
48,Claude Delacroix,Eurovision Song Contest 1970,Contest
49,Shin Sang-ok,1994 Cannes Film Festival,Festival
50,Assia and the Hen with the Golden Eggs,1994 Cannes Film Festival,Festival
51,Virna Lisi,1994 Cannes Film Festival,Festival
52,The Broken Journey,1994 Cannes Film Festival,Festival
53,Patrice Chéreau,1994 Cannes Film Festival,Festival
54,The Shipwrecked,1994 Cannes Film Festival,Festival
55,Pulp Fiction,1994 Cannes Film Festival,Festival
56,I Like It Like That (film),1994 Cannes Film Festival,Festival
57,Exotica (film),1994 Cannes Film Festival,Festival
58,Tom Stone (soccer),2015 Big 12 Conference Women's Soccer Tournament,Concert
59,Big 12 Conference Women's Soccer Tournament,2015 Big 12 Conference Women's Soccer Tournament,Concert
60,McPherson Range,1937 Airlines of Australia Stinson crash,Airliner Accident
61,The Riddle of the Stinson,1937 Airlines of Australia Stinson crash,Airliner Accident
62,Put Your Hands Where My Eyes Could See,1998 MTV Video Music Awards,Awards
63,The Boy Is Mine (song),1998 MTV Video Music Awards,Awards
65,The Power of Good-Bye,1998 MTV Video Music Awards,Awards
66,Push It (Garbage song),1998 MTV Video Music Awards,Awards
67,Beastie Boys,1998 MTV Video Music Awards,Awards
68,Take Me There (Blackstreet and Mýa song),1998 MTV Video Music Awards,Awards
69,Jonas Åkerlund,1998 MTV Video Music Awards,Awards
70,2019 Pittsburgh Panthers men's soccer team,2018 ACC Men's Soccer Tournament,Concert
71,2019 Duke Blue Devils men's soccer team,2018 ACC Men's Soccer Tournament,Concert
72,2019 NC State Wolfpack men's soccer team,2018 ACC Men's Soccer Tournament,Concert
