,composite_chain_id,coref_chain,dataset,subtopic,language,mentions,phrasing_diversity,unique_lemmas
0,2mNQYuyb3yWLEQ9Gu/MEANTIME//,2mNQYuyb3yWLEQ9Gu,MEANTIME,,,1,1.0,1
1,2oHWju5G6tQ9cyKge/MEANTIME//,2oHWju5G6tQ9cyKge,MEANTIME,,,2,2.0,2
2,64kuVJGJsnw6nH2oz/MEANTIME//,64kuVJGJsnw6nH2oz,MEANTIME,,,1,1.0,1
3,6NdfqcWSX5ZfDDyQj/MEANTIME//,6NdfqcWSX5ZfDDyQj,MEANTIME,,,1,1.0,1
4,6Yhpy6mKoDX9whxDj/MEANTIME//,6Yhpy6mKoDX9whxDj,MEANTIME,,,1,1.0,1
5,6cxqmpC2kBFRSxQS3/MEANTIME//,6cxqmpC2kBFRSxQS3,MEANTIME,,,1,1.0,1
6,6zS3koh4WBrPvnF7e/MEANTIME//,6zS3koh4WBrPvnF7e,MEANTIME,,,1,1.0,1
7,7ixYJCyo5zEq23rnh/MEANTIME//,7ixYJCyo5zEq23rnh,MEANTIME,,,2,2.0,2
8,ABzP5L2oDTLD5LkQz/MEANTIME//,ABzP5L2oDTLD5LkQz,MEANTIME,,,1,1.0,1
9,ASFcYFvVmPyNvWgMS/MEANTIME//,ASFcYFvVmPyNvWgMS,MEANTIME,,,1,1.0,1
10,BUaxyfYkkXLtHZheY/MEANTIME//,BUaxyfYkkXLtHZheY,MEANTIME,,,1,1.0,1
11,BtfCV7uEq3R3Kff2A/MEANTIME//,BtfCV7uEq3R3Kff2A,MEANTIME,,,1,1.0,1
12,BxBd2cdsgKiy8fzyX/MEANTIME//,BxBd2cdsgKiy8fzyX,MEANTIME,,,1,1.0,1
13,EMA9r7nkPoMRYawwD/MEANTIME//,EMA9r7nkPoMRYawwD,MEANTIME,,,1,1.0,1
14,EfuLwVES7uFmpA4zk/MEANTIME//,EfuLwVES7uFmpA4zk,MEANTIME,,,1,1.0,1
