,dataset,topic,language,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,cross-topic-chains,cross-topic-mentions,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
MEANTIME\0\100911\,MEANTIME,0/100911,,1,4,5018,61,416,101,315,21,0,0,6.82,4.757,3.59,44.473,9.875,4.957,4.95,44.473
MEANTIME\0\102977\,MEANTIME,0/102977,,1,4,1034,43,239,67,172,14,0,0,5.558,4.586,3.721,38.483,7.759,4.809,5.034,38.483
MEANTIME\0\106653\,MEANTIME,0/106653,,1,4,1336,55,228,105,123,25,0,0,4.145,3.238,2.727,48.72,6.767,3.514,4.167,48.72
MEANTIME\0\108294\,MEANTIME,0/108294,,1,4,996,47,208,98,110,13,0,0,4.426,3.188,2.936,44.837,5.735,3.334,3.676,44.837
MEANTIME\0\11714\,MEANTIME,0/11714,,1,4,875,55,219,88,131,25,0,0,3.982,4.178,3.055,39.413,6.467,4.588,4.767,39.413
MEANTIME\0\11716\,MEANTIME,0/11716,,1,4,723,41,197,73,124,14,0,0,4.805,2.433,2.927,46.797,6.778,2.543,3.926,46.797
MEANTIME\0\1173\,MEANTIME,0/1173,,1,4,3854,64,374,118,256,26,0,0,5.844,3.489,3.281,47.74,9.158,3.675,4.842,47.74
MEANTIME\0\128016\,MEANTIME,0/128016,,1,4,675,19,120,49,71,3,0,0,6.316,5.37,4.368,34.873,7.312,5.483,5.0,34.873
MEANTIME\0\129865\,MEANTIME,0/129865,,1,4,1786,42,165,93,72,12,0,0,3.929,3.698,3.095,40.843,5.1,3.91,3.933,40.843
MEANTIME\0\145930\,MEANTIME,0/145930,,1,4,868,31,125,55,70,14,0,0,4.032,5.046,2.516,50.653,6.529,5.557,3.765,50.653
MEANTIME\0\149731\,MEANTIME,0/149731,,1,4,968,46,170,82,88,20,0,0,3.696,2.88,2.565,49.6,5.769,3.131,3.769,49.6
MEANTIME\0\25501\,MEANTIME,0/25501,,1,4,963,51,194,89,105,22,0,0,3.804,5.712,2.667,47.003,5.931,6.314,3.931,47.003
MEANTIME\0\276079\,MEANTIME,0/276079,,1,4,1484,41,203,92,111,9,0,0,4.951,4.423,3.195,45.66,6.062,4.582,3.812,45.66
MEANTIME\0\3307\,MEANTIME,0/3307,,1,4,983,62,221,80,141,24,0,0,3.565,4.153,2.468,48.68,5.184,4.537,3.395,48.68
MEANTIME\0\3835\,MEANTIME,0/3835,,1,4,767,37,171,67,104,6,0,0,4.622,4.962,3.649,32.207,5.323,5.107,4.161,32.207
MEANTIME\0\41882\,MEANTIME,0/41882,,1,4,1081,51,243,84,159,20,0,0,4.765,3.898,3.118,42.987,7.194,4.158,4.484,42.987
MEANTIME\0\4764\,MEANTIME,0/4764,,1,4,1244,61,260,85,175,24,0,0,4.262,4.999,2.787,46.067,6.378,5.406,3.946,46.067
MEANTIME\0\51682\,MEANTIME,0/51682,,1,4,910,47,202,100,102,20,0,0,4.298,4.568,2.83,46.847,6.741,4.96,4.185,46.847
MEANTIME\0\5403\,MEANTIME,0/5403,,1,4,815,45,185,69,116,15,0,0,4.111,2.415,2.511,52.757,5.667,2.54,3.267,52.757
MEANTIME\0\61389\,MEANTIME,0/61389,,1,4,1013,43,176,63,113,17,0,0,4.093,3.966,2.953,42.633,6.115,4.283,4.231,42.633
MEANTIME\0\62929\,MEANTIME,0/62929,,1,4,1395,41,219,83,136,10,0,0,5.341,4.25,3.512,39.413,6.742,4.406,4.323,39.413
MEANTIME\0\71426\,MEANTIME,0/71426,,1,4,2213,62,270,95,175,17,0,0,4.355,4.304,3.21,39.157,5.622,4.526,4.044,39.157
MEANTIME\0\71526\,MEANTIME,0/71526,,1,4,1686,44,258,111,147,11,0,0,5.864,4.186,3.591,41.647,7.485,4.328,4.455,41.647
MEANTIME\0\73808\,MEANTIME,0/73808,,1,4,1801,58,305,86,219,17,0,0,5.259,4.708,3.379,41.987,7.024,4.927,4.366,41.987
MEANTIME\0\78496\,MEANTIME,0/78496,,1,4,1053,49,208,90,118,12,0,0,4.245,4.887,3.224,39.25,5.297,5.125,3.946,39.25
MEANTIME\0\82548\,MEANTIME,0/82548,,1,4,660,20,115,40,75,3,0,0,5.75,3.21,3.75,38.34,6.588,3.269,4.235,38.34
MEANTIME\0\82597\,MEANTIME,0/82597,,1,4,814,35,183,58,125,11,0,0,5.229,4.31,3.257,41.623,7.167,4.522,4.292,41.623
MEANTIME\0\87805\,MEANTIME,0/87805,,1,4,2223,46,261,112,149,13,0,0,5.674,3.97,3.435,43.797,7.515,4.125,4.394,43.797
MEANTIME\0\8951\,MEANTIME,0/8951,,1,4,1490,30,153,68,85,8,0,0,5.1,6.732,3.6,39.003,6.591,7.049,4.545,39.003
MEANTIME\0\8983\,MEANTIME,0/8983,,1,4,1318,50,232,106,126,11,0,0,4.64,3.485,3.18,39.47,5.667,3.609,3.795,39.47
MEANTIME\1\101354\,MEANTIME,1/101354,,1,4,1399,40,166,64,102,12,0,0,4.15,3.519,2.975,37.277,5.5,3.715,3.821,37.277
MEANTIME\1\103623\,MEANTIME,1/103623,,1,4,919,32,213,65,148,5,0,0,6.656,4.724,4.094,38.297,7.704,4.814,4.667,38.297
MEANTIME\1\10450\,MEANTIME,1/10450,,1,4,1965,52,268,126,142,12,0,0,5.154,3.43,3.212,40.433,6.4,3.544,3.875,40.433
MEANTIME\1\107785\,MEANTIME,1/107785,,1,4,580,34,167,63,104,9,0,0,4.912,3.899,3.265,43.237,6.32,4.064,4.08,43.237
MEANTIME\1\127576\,MEANTIME,1/127576,,1,4,754,35,187,61,126,6,0,0,5.343,5.617,4.029,33.523,6.241,5.77,4.655,33.523
MEANTIME\1\190356\,MEANTIME,1/190356,,1,4,2848,39,301,119,182,5,0,0,7.718,6.751,4.333,38.62,8.706,6.849,4.824,38.62
MEANTIME\1\191597\,MEANTIME,1/191597,,1,4,1273,42,213,90,123,4,0,0,5.071,3.765,3.738,36.643,5.5,3.818,4.026,36.643
MEANTIME\1\195869\,MEANTIME,1/195869,,1,4,2638,50,340,132,208,9,0,0,6.8,5.4,4.04,39.59,8.073,5.52,4.707,39.59
MEANTIME\1\199629\,MEANTIME,1/199629,,1,4,2045,32,229,92,137,8,0,0,7.156,5.847,4.531,34.97,9.208,6.022,5.708,34.97
MEANTIME\1\21302\,MEANTIME,1/21302,,1,4,1455,34,155,53,102,9,0,0,4.559,3.686,3.0,43.373,5.84,3.851,3.72,43.373
MEANTIME\1\214601\,MEANTIME,1/214601,,1,4,2464,45,275,106,169,5,0,0,6.111,3.636,3.889,38.333,6.75,3.685,4.25,38.333
MEANTIME\1\23468\,MEANTIME,1/23468,,1,4,691,26,103,43,60,4,0,0,3.962,2.656,2.885,42.88,4.5,2.723,3.227,42.88
MEANTIME\1\238039\,MEANTIME,1/238039,,1,4,1715,36,207,95,112,7,0,0,5.75,4.51,3.583,40.383,6.897,4.633,4.207,40.383
MEANTIME\1\23973\,MEANTIME,1/23973,,1,4,1090,32,164,48,116,9,0,0,5.125,2.93,3.062,43.927,6.739,3.042,3.87,43.927
MEANTIME\1\265977\,MEANTIME,1/265977,,1,4,2949,49,224,63,161,20,0,0,4.571,3.357,3.0,40.377,7.034,3.588,4.379,40.377
MEANTIME\1\279494\,MEANTIME,1/279494,,1,4,2168,39,241,125,116,6,0,0,6.179,6.27,4.282,35.09,7.121,6.405,4.879,35.09
MEANTIME\1\287096\,MEANTIME,1/287096,,1,4,1816,33,223,76,147,7,0,0,6.758,10.754,4.182,36.63,8.6,11.117,5.2,36.63
MEANTIME\1\30414\,MEANTIME,1/30414,,1,4,428,27,145,43,102,3,0,0,5.37,5.841,3.963,32.12,5.917,5.943,4.333,32.12
MEANTIME\1\37313\,MEANTIME,1/37313,,1,4,2004,47,261,104,157,8,0,0,5.553,2.865,3.553,40.193,6.487,2.924,4.077,40.193
MEANTIME\1\37961\,MEANTIME,1/37961,,1,4,917,28,186,69,117,7,0,0,6.643,5.01,3.929,41.61,8.524,5.166,4.905,41.61
MEANTIME\1\40203\,MEANTIME,1/40203,,1,4,1009,35,220,86,134,5,0,0,6.286,3.5,4.0,38.197,7.167,3.558,4.5,38.197
MEANTIME\1\40986\,MEANTIME,1/40986,,1,4,507,28,125,37,88,4,0,0,4.464,3.272,3.286,35.873,5.042,3.347,3.667,35.873
MEANTIME\1\43503\,MEANTIME,1/43503,,1,4,926,34,185,73,112,5,0,0,5.441,3.919,3.588,40.41,6.207,4.0,4.034,40.41
MEANTIME\1\58207\,MEANTIME,1/58207,,1,4,1061,37,166,67,99,7,0,0,4.486,3.634,3.216,38.677,5.3,3.75,3.733,38.677
MEANTIME\1\58383\,MEANTIME,1/58383,,1,4,830,30,183,71,112,5,0,0,6.1,5.903,4.3,35.017,7.12,6.041,4.96,35.017
MEANTIME\1\58772\,MEANTIME,1/58772,,1,4,1316,26,126,62,64,8,0,0,4.846,4.326,3.423,39.093,6.556,4.552,4.5,39.093
MEANTIME\1\60083\,MEANTIME,1/60083,,1,4,866,37,228,89,139,8,0,0,6.162,4.655,4.081,37.343,7.586,4.788,4.931,37.343
MEANTIME\1\78899\,MEANTIME,1/78899,,1,4,1243,38,163,53,110,8,0,0,4.289,3.762,3.158,38.047,5.167,3.904,3.733,38.047
MEANTIME\1\89284\,MEANTIME,1/89284,,1,4,1164,27,176,52,124,4,0,0,6.519,5.469,4.296,35.213,7.478,5.573,4.87,35.213
MEANTIME\1\9549\,MEANTIME,1/9549,,1,4,2336,49,255,51,204,6,0,0,5.204,4.406,3.429,38.91,5.905,4.502,3.833,38.91
MEANTIME\2\1007169\,MEANTIME,2/1007169,,1,4,1560,38,205,75,130,16,0,0,5.395,6.985,3.658,38.043,8.591,7.492,5.591,38.043
MEANTIME\2\118147\,MEANTIME,2/118147,,1,4,1663,57,195,82,113,19,0,0,3.421,3.257,2.421,49.907,4.632,3.501,3.132,49.907
MEANTIME\2\118175\,MEANTIME,2/118175,,1,4,1214,55,210,94,116,23,0,0,3.818,3.147,2.655,47.587,5.844,3.411,3.844,47.587
MEANTIME\2\120554\,MEANTIME,2/120554,,1,4,1349,46,244,63,181,11,0,0,5.304,4.39,3.565,39.187,6.657,4.55,4.371,39.187
MEANTIME\2\120578\,MEANTIME,2/120578,,1,4,992,26,132,59,73,6,0,0,5.077,3.481,3.423,39.983,6.3,3.599,4.15,39.983
MEANTIME\2\121134\,MEANTIME,2/121134,,1,4,1419,45,264,92,172,5,0,0,5.867,4.552,3.911,35.723,6.475,4.621,4.275,35.723
MEANTIME\2\123881\,MEANTIME,2/123881,,1,4,4120,53,403,116,287,13,0,0,7.604,3.852,4.113,41.1,9.75,3.947,5.125,41.1
MEANTIME\2\124043\,MEANTIME,2/124043,,1,4,1189,48,198,86,112,16,0,0,4.125,2.865,2.75,45.73,5.688,3.029,3.625,45.73
MEANTIME\2\125796\,MEANTIME,2/125796,,1,4,1700,43,257,79,178,13,0,0,5.977,3.223,3.14,49.173,8.133,3.342,4.067,49.173
MEANTIME\2\126029\,MEANTIME,2/126029,,1,4,1170,27,151,66,85,7,0,0,5.593,5.338,3.481,41.14,7.526,5.581,4.526,41.14
MEANTIME\2\126311\,MEANTIME,2/126311,,1,4,814,42,197,81,116,16,0,0,4.69,6.802,3.333,40.347,6.962,7.315,4.769,40.347
MEANTIME\2\126361\,MEANTIME,2/126361,,1,4,1024,36,205,77,128,9,0,0,5.694,5.186,3.694,39.703,7.259,5.378,4.593,39.703
MEANTIME\2\126878\,MEANTIME,2/126878,,1,4,790,63,239,109,130,20,0,0,3.794,4.922,2.952,41.233,5.19,5.3,3.929,41.233
MEANTIME\2\127226\,MEANTIME,2/127226,,1,4,467,45,122,45,77,23,0,0,2.711,3.474,2.044,50.51,4.667,4.08,3.238,50.51
MEANTIME\2\127227\,MEANTIME,2/127227,,1,4,2372,89,406,199,207,27,0,0,4.562,3.712,3.112,40.67,6.197,3.912,4.082,40.67
MEANTIME\2\127248\,MEANTIME,2/127248,,1,4,3156,74,445,220,225,12,0,0,6.014,4.015,3.784,38.367,7.082,4.105,4.377,38.367
MEANTIME\2\127461\,MEANTIME,2/127461,,1,4,1081,36,168,50,118,12,0,0,4.667,3.735,2.917,44.63,6.5,3.945,3.875,44.63
MEANTIME\2\143300\,MEANTIME,2/143300,,1,4,739,34,180,86,94,7,0,0,5.294,5.687,3.706,38.697,6.407,5.877,4.407,38.697
MEANTIME\2\143480\,MEANTIME,2/143480,,1,4,1096,30,206,88,118,7,0,0,6.867,5.172,4.167,39.33,8.652,5.319,5.13,39.33
MEANTIME\2\150433\,MEANTIME,2/150433,,1,4,987,32,151,84,67,9,0,0,4.719,4.636,3.406,37.68,6.174,4.867,4.348,37.68
MEANTIME\2\160257\,MEANTIME,2/160257,,1,4,1462,45,237,98,139,11,0,0,5.267,3.363,3.267,44.567,6.647,3.478,4.0,44.567
MEANTIME\2\264435\,MEANTIME,2/264435,,1,4,950,50,225,103,122,20,0,0,4.5,3.762,3.18,43.407,6.833,4.031,4.633,43.407
MEANTIME\2\31706\,MEANTIME,2/31706,,1,4,2525,47,242,113,129,12,0,0,5.149,3.101,3.085,47.613,6.571,3.211,3.8,47.613
MEANTIME\2\31965\,MEANTIME,2/31965,,1,4,1144,19,132,59,73,4,0,0,6.947,3.145,3.842,44.667,8.533,3.212,4.6,44.667
MEANTIME\2\39951\,MEANTIME,2/39951,,1,4,1843,34,151,50,101,11,0,0,4.441,3.669,2.824,45.307,6.087,3.879,3.696,45.307
MEANTIME\2\47720\,MEANTIME,2/47720,,1,4,1246,40,156,79,77,11,0,0,3.9,4.825,3.175,36.81,5.143,5.144,4.107,36.81
MEANTIME\2\60086\,MEANTIME,2/60086,,1,4,1097,62,240,107,133,24,0,0,3.871,4.087,2.774,42.77,5.684,4.43,3.895,42.77
MEANTIME\2\60658\,MEANTIME,2/60658,,1,4,725,38,136,63,73,14,0,0,3.579,2.728,2.5,46.907,5.261,2.942,3.478,46.907
MEANTIME\2\68899\,MEANTIME,2/68899,,1,4,827,33,132,50,82,15,0,0,4.0,3.579,2.545,47.853,6.5,3.909,3.833,47.853
MEANTIME\2\79240\,MEANTIME,2/79240,,1,4,1152,35,183,52,131,11,0,0,5.229,3.979,3.257,42.217,7.167,4.17,4.292,42.217
MEANTIME\3\112579\,MEANTIME,3/112579,,1,4,1662,52,189,109,80,13,0,0,3.635,3.875,2.846,40.96,4.513,4.088,3.462,40.96
MEANTIME\3\113219\,MEANTIME,3/113219,,1,4,1551,40,187,85,102,8,0,0,4.675,4.412,3.45,35.28,5.742,4.584,4.161,35.28
MEANTIME\3\113227\,MEANTIME,3/113227,,1,4,1170,45,180,87,93,12,0,0,4.0,4.01,3.067,39.683,5.091,4.225,3.818,39.683
MEANTIME\3\113267\,MEANTIME,3/113267,,1,4,1497,44,141,71,70,15,0,0,3.205,4.07,2.636,41.99,4.345,4.435,3.483,41.99
MEANTIME\3\113278\,MEANTIME,3/113278,,1,4,1810,77,264,97,167,24,0,0,3.429,3.395,2.74,39.93,4.528,3.635,3.528,39.93
MEANTIME\3\113330\,MEANTIME,3/113330,,1,4,1484,32,137,60,77,8,0,0,4.281,4.606,3.562,33.12,5.375,4.829,4.417,33.12
MEANTIME\3\114565\,MEANTIME,3/114565,,1,4,1035,29,123,53,70,9,0,0,4.241,4.894,3.517,32.947,5.7,5.201,4.65,32.947
MEANTIME\3\114613\,MEANTIME,3/114613,,1,4,1872,34,156,80,76,9,0,0,4.588,5.439,3.559,35.64,5.88,5.711,4.48,35.64
MEANTIME\3\114719\,MEANTIME,3/114719,,1,4,1538,34,139,66,73,11,0,0,4.088,5.191,3.294,34.833,5.565,5.551,4.391,34.833
MEANTIME\3\114864\,MEANTIME,3/114864,,1,4,1469,46,139,70,69,18,0,0,3.022,3.706,2.522,40.103,4.321,4.108,3.5,40.103
MEANTIME\3\114904\,MEANTIME,3/114904,,1,4,1175,24,130,92,38,6,0,0,5.417,6.459,4.417,28.867,6.889,6.723,5.556,28.867
MEANTIME\3\115064\,MEANTIME,3/115064,,1,4,1225,64,236,116,120,18,0,0,3.688,3.482,2.875,39.657,4.739,3.687,3.609,39.657
MEANTIME\3\115587\,MEANTIME,3/115587,,1,4,940,30,120,58,62,7,0,0,4.0,4.712,3.433,31.223,4.913,4.942,4.174,31.223
MEANTIME\3\115711\,MEANTIME,3/115711,,1,4,1471,56,192,93,99,21,0,0,3.429,3.3,2.625,45.767,4.886,3.582,3.6,45.767
MEANTIME\3\116834\,MEANTIME,3/116834,,1,4,1020,64,189,113,76,26,0,0,2.953,3.022,2.344,46.653,4.289,3.345,3.263,46.653
MEANTIME\3\121225\,MEANTIME,3/121225,,1,4,1490,25,137,65,72,3,0,0,5.48,5.977,4.24,30.76,6.091,6.089,4.682,30.76
MEANTIME\3\121416\,MEANTIME,3/121416,,1,4,1193,40,124,54,70,14,0,0,3.1,3.645,2.725,36.077,4.231,3.982,3.654,36.077
MEANTIME\3\121978\,MEANTIME,3/121978,,1,4,1515,49,183,94,89,12,0,0,3.735,3.193,2.776,40.367,4.622,3.346,3.351,40.367
MEANTIME\3\122475\,MEANTIME,3/122475,,1,4,1056,44,149,81,68,11,0,0,3.386,3.865,3.023,30.733,4.182,4.093,3.697,30.733
MEANTIME\3\124259\,MEANTIME,3/124259,,1,4,1006,47,181,100,81,16,0,0,3.851,3.812,2.957,39.09,5.323,4.085,3.968,39.09
MEANTIME\3\131162\,MEANTIME,3/131162,,1,4,1323,60,186,115,71,18,0,0,3.1,3.153,2.533,40.997,4.0,3.384,3.19,40.997
MEANTIME\3\141225\,MEANTIME,3/141225,,1,4,811,38,134,66,68,11,0,0,3.526,3.685,2.632,45.55,4.556,3.925,3.296,45.55
MEANTIME\3\141483\,MEANTIME,3/141483,,1,4,840,33,148,77,71,9,0,0,4.485,4.264,3.212,40.243,5.792,4.475,4.042,40.243
MEANTIME\3\180695\,MEANTIME,3/180695,,1,4,2790,57,202,130,72,19,0,0,3.544,4.107,3.0,36.057,4.816,4.429,4.0,36.057
MEANTIME\3\251007\,MEANTIME,3/251007,,1,4,710,40,139,77,62,12,0,0,3.475,3.288,2.7,42.603,4.536,3.504,3.429,42.603
MEANTIME\3\61327\,MEANTIME,3/61327,,1,4,1197,35,125,60,65,14,0,0,3.571,3.975,2.771,42.063,5.286,4.35,3.952,42.063
MEANTIME\3\62405\,MEANTIME,3/62405,,1,4,1906,66,207,86,121,23,0,0,3.136,3.425,2.5,42.9,4.357,3.743,3.357,42.9
MEANTIME\3\76437\,MEANTIME,3/76437,,1,4,2243,50,184,86,98,13,0,0,3.68,3.966,3.06,36.457,4.622,4.191,3.784,36.457
MEANTIME\3\82738\,MEANTIME,3/82738,,1,4,1759,38,128,78,50,11,0,0,3.368,3.306,2.816,38.447,4.333,3.523,3.556,38.447
MEANTIME\3\96770\,MEANTIME,3/96770,,1,4,1174,47,172,85,87,11,0,0,3.66,3.036,2.723,44.103,4.472,3.176,3.25,44.103
MEANTIME\0\\dutch,MEANTIME,0/,dutch,1,30,39665,713,1541,541,1000,174,43,597,2.394,2.503,1.484,61.62,5.873,3.142,2.691,61.62
MEANTIME\0\\english,MEANTIME,0/,english,1,30,40231,816,1709,698,1011,80,46,664,2.336,1.556,1.338,61.363,5.955,1.809,2.255,61.363
MEANTIME\0\\italian,MEANTIME,0/,italian,1,30,44538,787,1619,628,991,82,40,588,2.296,2.593,1.375,62.2,5.789,3.334,2.385,62.2
MEANTIME\0\\spanish,MEANTIME,0/,spanish,1,30,44793,786,1651,640,1011,121,43,591,2.345,2.176,1.38,61.28,5.556,2.681,2.289,61.28
MEANTIME\1\\dutch,MEANTIME,1/,dutch,1,30,39665,592,1362,477,885,73,30,577,2.611,2.891,1.524,59.097,7.276,3.644,3.039,59.097
MEANTIME\1\\english,MEANTIME,1/,english,1,30,40231,734,1619,593,1026,17,40,705,2.496,1.638,1.319,60.82,7.536,1.923,2.393,60.82
MEANTIME\1\\italian,MEANTIME,1/,italian,1,30,44538,755,1548,603,945,65,38,582,2.313,2.425,1.377,61.07,6.728,3.138,2.647,61.07
MEANTIME\1\\spanish,MEANTIME,1/,spanish,1,30,44793,730,1566,605,961,60,36,621,2.421,2.72,1.39,59.09,6.605,3.486,2.541,59.09
MEANTIME\2\\dutch,MEANTIME,2/,dutch,1,30,39665,623,1401,458,943,250,28,634,2.372,2.159,1.326,62.04,7.333,2.73,2.504,62.04
MEANTIME\2\\english,MEANTIME,2/,english,1,30,40231,760,1848,726,1122,32,38,853,2.57,1.671,1.336,59.153,7.555,1.953,2.401,59.153
MEANTIME\2\\italian,MEANTIME,2/,italian,1,30,44538,727,1564,719,845,60,34,590,2.278,2.325,1.376,59.473,5.915,2.963,2.444,59.473
MEANTIME\2\\spanish,MEANTIME,2/,spanish,1,30,44793,744,1599,722,877,62,36,627,2.262,1.881,1.301,60.083,6.103,2.32,2.217,60.083
MEANTIME\3\\dutch,MEANTIME,3/,dutch,1,30,39665,625,1120,525,595,273,36,395,2.278,2.405,1.336,58.937,7.008,3.147,2.579,58.937
MEANTIME\3\\english,MEANTIME,3/,english,1,30,40231,694,1258,655,603,13,46,477,2.369,1.573,1.267,57.477,7.643,1.861,2.294,57.477
MEANTIME\3\\italian,MEANTIME,3/,italian,1,30,44538,716,1267,667,600,64,43,449,2.154,2.238,1.277,58.84,6.658,2.963,2.356,58.84
MEANTIME\3\\spanish,MEANTIME,3/,spanish,1,30,44793,722,1276,657,619,52,44,452,2.163,2.023,1.273,57.23,6.25,2.598,2.231,57.23
MEANTIME\\\,MEANTIME,/,,4,480,169227,4492,23948,9914,14034,1478,164,9662,5.331,6.381,3.127,40.693,7.455,6.735,4.17,40.693
