,composite_chain_id,coref_chain,dataset,subtopic_id,language,mentions,phrasing_diversity,unique_lemmas
0,CAR6nqiiHWDxZyjDc8ukNKJJ9/NP4E//,CAR6nqiiHWDxZyjDc8ukNKJJ9,NP4E,,,140,2.692,12
1,CAR8qzpckyrPD2QsaZrTQD7ba/NP4E//,CAR8qzpckyrPD2QsaZrTQD7ba,NP4E,,,2,2.0,2
2,CARC3ULnyfQz85ob5ZpT73XLq/NP4E//,CARC3ULnyfQz85ob5ZpT73XLq,NP4E,,,3,3.0,3
3,CARG52BPS3WtZr2NyrnrbdWAx/NP4E//,CARG52BPS3WtZr2NyrnrbdWAx,NP4E,,,3,2.0,2
4,CARJwuxSGPpPahScHbeY93Wx7/NP4E//,CARJwuxSGPpPahScHbeY93Wx7,NP4E,,,6,1.067,2
5,CARL7zYoLyYtGYJrvq5sxqtrA/NP4E//,CARL7zYoLyYtGYJrvq5sxqtrA,NP4E,,,2,2.0,2
6,CARNoYrJeE5KdPZjB37QRyELv/NP4E//,CARNoYrJeE5KdPZjB37QRyELv,NP4E,,,9,1.407,3
7,CARTP5FmjqvZc85BBqZE9fDJt/NP4E//,CARTP5FmjqvZc85BBqZE9fDJt,NP4E,,,2,2.0,2
8,CARUkihGGCnHZNrdR9kBxwDim/NP4E//,CARUkihGGCnHZNrdR9kBxwDim,NP4E,,,6,0.056,2
9,CARWtULRm4XqToCboezBBoBXW/NP4E//,CARWtULRm4XqToCboezBBoBXW,NP4E,,,4,0.667,2
10,CAReg6gEbgcEDCs2KvTwDqS2z/NP4E//,CAReg6gEbgcEDCs2KvTwDqS2z,NP4E,,,2,2.0,2
11,CARfsJ6Xugxd27LvmhJsy3j5i/NP4E//,CARfsJ6Xugxd27LvmhJsy3j5i,NP4E,,,2,0.25,1
12,CARiGRfrkCXK8k45XpDuCisKo/NP4E//,CARiGRfrkCXK8k45XpDuCisKo,NP4E,,,4,4.0,4
13,CARkfytjxCWSsNVKqgHnzffyF/NP4E//,CARkfytjxCWSsNVKqgHnzffyF,NP4E,,,3,1.333,3
14,CARoYeND39dnyQQUMZu6aqsyW/NP4E//,CARoYeND39dnyQQUMZu6aqsyW,NP4E,,,3,1.333,3
15,DAT2zBxMt7FNp5vfQtUdTA2cE/NP4E//,DAT2zBxMt7FNp5vfQtUdTA2cE,NP4E,,,3,2.0,2
16,DAT4tGRiHafvuYQptoCdrjBNq/NP4E//,DAT4tGRiHafvuYQptoCdrjBNq,NP4E,,,2,0.25,1
17,DAT5AQBrxyASVsSkS23Et2BKK/NP4E//,DAT5AQBrxyASVsSkS23Et2BKK,NP4E,,,30,2.946,8
