,dataset,topic/subtopic_name,language,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,cross-topic-chains,cross-topic-mentions,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
NewsWCL50\0\0\,NewsWCL50,0/0,,1,5,4586,17,473,111,362,1,0,0,27.824,6.47,8.118,49.567,29.5,6.482,8.562,49.567
NewsWCL50\1\1\,NewsWCL50,1/1,,1,5,5145,12,521,40,481,0,0,0,43.417,7.257,8.167,55.613,43.417,7.257,8.167,55.613
NewsWCL50\2\2\,NewsWCL50,2/2,,1,5,4803,16,477,107,370,3,0,0,29.812,7.838,8.438,47.99,36.462,7.881,10.154,47.99
NewsWCL50\3\3\,NewsWCL50,3/3,,1,5,5337,10,609,116,493,0,0,0,60.9,9.23,13.0,47.347,60.9,9.23,13.0,47.347
NewsWCL50\4\4\,NewsWCL50,4/4,,1,5,6239,15,446,17,429,0,0,0,29.733,3.332,6.667,56.857,29.733,3.332,6.667,56.857
NewsWCL50\5\5\,NewsWCL50,5/5,,1,5,3894,10,379,137,242,0,0,0,37.9,6.866,10.0,48.387,37.9,6.866,10.0,48.387
NewsWCL50\6\6\,NewsWCL50,6/6,,1,5,6188,8,421,17,404,0,0,0,52.625,12.453,13.875,41.377,52.625,12.453,13.875,41.377
NewsWCL50\7\7\,NewsWCL50,7/7,,1,5,4760,15,421,0,421,0,0,0,28.067,7.069,7.733,51.127,28.067,7.069,7.733,51.127
NewsWCL50\8\8\,NewsWCL50,8/8,,1,5,4731,9,417,70,347,0,0,0,46.333,5.551,9.889,53.13,46.333,5.551,9.889,53.13
NewsWCL50\9\9\,NewsWCL50,9/9,,1,5,3908,8,360,15,345,0,0,0,45.0,3.347,8.125,57.35,45.0,3.347,8.125,57.35
NewsWCL50\\\,NewsWCL50,/,,10,50,49591,120,4524,630,3894,4,0,0,37.7,7.079,9.017,50.874,38.966,7.085,9.293,50.874
