,dataset,topic,language,topics,subtopics,documents,tokens,mean_doc_size,coref_chain,mentions,mean_mention_density,singletons,cross-topic-chains,cross-topic-mentions,coref_chain_entity,coref_chain_event,mentions_entity,mentions_event,singletons_entity,singletons_event,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_avg_all,unique_lemmas_sum_all,lexical_ambiguity_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_avg_wo_singl,unique_lemmas_sum_wo_singl,lexical_ambiguity_wo_singl
NewsWCL50\0\,NewsWCL50,0,,1,1,5,4586,917.2,18,491,98.2,1,0,0,12,6,362,129,1,0,27.28,6.82,8.44,152,1.25,28.82,6.83,8.88,151,1.25
NewsWCL50\1\,NewsWCL50,1,,1,1,5,5145,1029.0,13,544,108.8,0,0,0,9,4,481,63,0,0,41.85,7.24,7.92,103,1.14,41.85,7.24,7.92,103,1.14
NewsWCL50\2\,NewsWCL50,2,,1,1,5,4803,960.6,20,578,115.6,3,0,0,12,8,370,208,3,0,28.9,7.96,8.6,172,1.31,33.82,7.99,9.94,169,1.31
NewsWCL50\3\,NewsWCL50,3,,1,1,5,5337,1067.4,12,821,164.2,0,0,0,7,5,493,328,0,0,68.42,12.88,16.33,196,1.16,68.42,12.88,16.33,196,1.16
NewsWCL50\4\,NewsWCL50,4,,1,1,5,6239,1247.8,16,498,99.6,0,0,0,14,2,429,69,0,0,31.12,6.43,8.5,136,1.2,31.12,6.43,8.5,136,1.2
NewsWCL50\5\,NewsWCL50,5,,1,1,5,3894,778.8,10,379,75.8,0,0,0,6,4,242,137,0,0,37.9,6.87,10.0,100,1.15,37.9,6.87,10.0,100,1.15
NewsWCL50\6\,NewsWCL50,6,,1,1,5,6188,1237.6,9,460,92.0,0,0,0,7,2,404,56,0,0,51.11,14.45,15.78,142,1.15,51.11,14.45,15.78,142,1.15
NewsWCL50\7\,NewsWCL50,7,,1,1,5,4760,952.0,17,487,97.4,0,0,0,15,2,421,66,0,0,28.65,9.33,9.71,165,1.25,28.65,9.33,9.71,165,1.25
NewsWCL50\8\,NewsWCL50,8,,1,1,5,4731,946.2,9,417,83.4,0,0,0,7,2,347,70,0,0,46.33,5.55,9.89,89,1.08,46.33,5.55,9.89,89,1.08
NewsWCL50\9\,NewsWCL50,9,,1,1,5,3908,781.6,10,444,88.8,0,0,0,7,3,345,99,0,0,44.4,7.82,11.7,117,1.1,44.4,7.82,11.7,117,1.1
NewsWCL50\\,NewsWCL50,,,10,10,50,49591,991.82,134,5119,102.38,4,0,0,96,38,3894,1225,4,0,38.2,8.84,10.24,1372,1.81,39.35,8.84,10.52,1368,1.81
ECBplus\1\,ECBplus,1,,1,2,39,6820,174.87,216,755,19.36,118,0,0,115,101,468,287,72,46,3.5,1.68,1.58,341,1.49,8.59,1.84,2.76,196,1.49
ECBplus\10\,ECBplus,10,,1,2,21,6738,320.86,84,198,9.43,57,2,29,74,10,153,45,56,1,2.36,1.04,1.21,102,1.39,5.56,1.05,1.72,43,1.39
ECBplus\11\,ECBplus,11,,1,2,16,4304,269.0,66,159,9.94,42,3,33,55,11,110,49,41,1,2.41,1.15,1.3,86,1.18,5.04,1.2,1.87,43,1.18
ECBplus\12\,ECBplus,12,,1,2,30,10337,344.57,99,375,12.5,60,3,75,73,26,239,136,55,5,3.79,0.94,1.52,150,1.41,8.46,0.93,2.38,88,1.41
ECBplus\13\,ECBplus,13,,1,2,33,11145,337.73,89,266,8.06,60,3,51,72,17,164,102,55,5,2.99,1.29,1.38,123,1.31,7.32,1.37,2.21,62,1.31
ECBplus\14\,ECBplus,14,,1,2,21,3596,171.24,50,163,7.76,26,0,0,40,10,97,66,26,0,3.26,1.11,1.48,74,1.26,6.14,1.13,2.09,46,1.26
ECBplus\16\,ECBplus,16,,1,2,14,8447,603.36,84,193,13.79,47,0,0,63,21,133,60,44,3,2.3,1.82,1.46,123,1.31,4.89,2.16,2.39,67,1.31
ECBplus\18\,ECBplus,18,,1,2,27,12466,461.7,77,372,13.78,31,0,0,53,24,210,162,31,0,4.83,1.54,1.94,149,1.28,7.7,1.6,2.64,116,1.28
ECBplus\19\,ECBplus,19,,1,2,25,15440,617.6,102,319,12.76,55,0,0,73,29,191,128,52,3,3.13,1.69,1.7,173,1.32,6.86,1.86,2.92,108,1.32
ECBplus\2\,ECBplus,2,,1,2,21,8703,414.43,104,327,15.57,65,2,12,79,25,200,127,59,6,3.14,1.39,1.62,168,1.28,7.97,1.5,3.0,96,1.28
ECBplus\20\,ECBplus,20,,1,2,15,5114,340.93,76,237,15.8,37,1,14,61,15,145,92,37,0,3.12,1.81,1.7,129,1.36,5.74,1.98,2.56,87,1.36
ECBplus\21\,ECBplus,21,,1,2,26,7433,285.88,95,431,16.58,45,0,0,65,30,262,169,43,2,4.54,1.19,1.77,168,1.36,9.0,1.22,2.74,115,1.36
ECBplus\22\,ECBplus,22,,1,2,23,6155,267.61,103,360,15.65,56,0,0,80,23,226,134,56,0,3.5,1.67,1.66,171,1.32,6.59,1.79,2.48,114,1.32
ECBplus\23\,ECBplus,23,,1,2,21,3709,176.62,65,298,14.19,36,2,31,52,13,185,113,36,0,4.58,1.43,1.85,120,1.52,9.03,1.49,2.9,84,1.52
ECBplus\24\,ECBplus,24,,1,2,26,3831,147.35,85,324,12.46,44,1,8,68,17,225,99,44,0,3.81,1.85,1.76,150,1.37,7.13,1.99,2.67,104,1.37
ECBplus\25\,ECBplus,25,,1,2,26,7608,292.62,85,323,12.42,58,1,42,72,13,208,115,58,0,3.8,0.54,1.38,117,1.4,10.15,0.44,2.23,58,1.4
ECBplus\26\,ECBplus,26,,1,2,24,9227,384.46,91,381,15.88,58,0,0,76,15,245,136,58,0,4.19,1.57,1.67,152,1.24,10.35,1.68,2.97,92,1.24
ECBplus\27\,ECBplus,27,,1,2,28,11621,415.04,167,559,19.96,131,5,143,141,26,416,143,124,7,3.35,1.39,1.47,245,1.58,12.2,1.51,3.23,113,1.58
ECBplus\28\,ECBplus,28,,1,2,25,14735,589.4,141,503,20.12,102,4,59,115,26,327,176,97,5,3.57,0.89,1.5,211,1.48,9.62,0.86,2.67,112,1.48
ECBplus\29\,ECBplus,29,,1,2,24,14987,624.46,148,461,19.21,110,1,53,129,19,315,146,108,2,3.11,1.33,1.4,207,1.49,9.24,1.44,2.55,97,1.49
