,dataset,topic,language,topics,subtopics,documents,tokens,mean_doc_size,coref_chain,mentions,mean_mention_density,singletons,cross-subtopic-chains,cross-subtopic-mentions,coref_chain_entity,coref_chain_event,mentions_entity,mentions_event,singletons_entity,singletons_event,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_avg_all,unique_lemmas_sum_all,lexical_ambiguity_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_avg_wo_singl,unique_lemmas_sum_wo_singl,lexical_ambiguity_wo_singl
NewsWCL50\0\,NewsWCL50,0,,1,1,5,4586,917.2,18,491,98.2,1,0,0,12,6,362,129,1,0,27.28,6.82,8.44,126,1.25,28.82,6.83,8.88,125,1.25
NewsWCL50\1\,NewsWCL50,1,,1,1,5,5145,1029.0,13,544,108.8,0,0,0,9,4,481,63,0,0,41.85,7.24,7.92,98,1.14,41.85,7.24,7.92,98,1.14
NewsWCL50\2\,NewsWCL50,2,,1,1,5,4803,960.6,20,578,115.6,3,0,0,12,8,370,208,3,0,28.9,7.96,8.6,155,1.31,33.82,7.99,9.94,152,1.32
NewsWCL50\3\,NewsWCL50,3,,1,1,5,5337,1067.4,12,821,164.2,0,0,0,7,5,493,328,0,0,68.42,12.88,16.33,177,1.16,68.42,12.88,16.33,177,1.16
NewsWCL50\4\,NewsWCL50,4,,1,1,5,6239,1247.8,16,498,99.6,0,0,0,14,2,429,69,0,0,31.12,6.43,8.5,116,1.2,31.12,6.43,8.5,116,1.2
NewsWCL50\5\,NewsWCL50,5,,1,1,5,3894,778.8,10,379,75.8,0,0,0,6,4,242,137,0,0,37.9,6.87,10.0,92,1.15,37.9,6.87,10.0,92,1.15
NewsWCL50\6\,NewsWCL50,6,,1,1,5,6188,1237.6,9,460,92.0,0,0,0,7,2,404,56,0,0,51.11,14.45,15.78,130,1.15,51.11,14.45,15.78,130,1.15
NewsWCL50\7\,NewsWCL50,7,,1,1,5,4760,952.0,17,487,97.4,0,0,0,15,2,421,66,0,0,28.65,9.33,9.71,134,1.25,28.65,9.33,9.71,134,1.25
NewsWCL50\8\,NewsWCL50,8,,1,1,5,4731,946.2,9,417,83.4,0,0,0,7,2,347,70,0,0,46.33,5.55,9.89,86,1.08,46.33,5.55,9.89,86,1.08
NewsWCL50\9\,NewsWCL50,9,,1,1,5,3908,781.6,10,444,88.8,0,0,0,7,3,345,99,0,0,44.4,7.82,11.7,111,1.1,44.4,7.82,11.7,111,1.1
