,composite_chain_id,coref_chain,dataset,topic_id,language,mentions,phrasing_diversity,unique_lemmas
0,ACT15731460277214564/ECBplus//,ACT15731460277214564,ECBplus,,,1,1.0,1
1,ACT15731731385023077/ECBplus//,ACT15731731385023077,ECBplus,,,1,1.0,1
2,ACT15731832120127879/ECBplus//,ACT15731832120127879,ECBplus,,,1,1.0,1
3,ACT15731894703034277/ECBplus//,ACT15731894703034277,ECBplus,,,4,0.062,1
4,ACT15732677478675981/ECBplus//,ACT15732677478675981,ECBplus,,,1,1.0,1
5,ACT15732703912085343/ECBplus//,ACT15732703912085343,ECBplus,,,1,1.0,1
6,ACT15732720866639549/ECBplus//,ACT15732720866639549,ECBplus,,,1,1.0,1
7,ACT15732766174435569/ECBplus//,ACT15732766174435569,ECBplus,,,3,0.111,1
8,ACT15732888626936746/ECBplus//,ACT15732888626936746,ECBplus,,,1,1.0,1
9,ACT15732906075350951/ECBplus//,ACT15732906075350951,ECBplus,,,2,0.25,1
10,ACT15732920454932741/ECBplus//,ACT15732920454932741,ECBplus,,,1,1.0,1
11,ACT15732951312583400/ECBplus//,ACT15732951312583400,ECBplus,,,1,1.0,1
12,ACT15736014936162030/ECBplus//,ACT15736014936162030,ECBplus,,,1,1.0,1
13,ACT15736043408045171/ECBplus//,ACT15736043408045171,ECBplus,,,1,1.0,1
14,ACT15736206310398879/ECBplus//,ACT15736206310398879,ECBplus,,,3,1.0,2
15,ACT15736222522732990/ECBplus//,ACT15736222522732990,ECBplus,,,1,1.0,1
16,ACT15736242788923354/ECBplus//,ACT15736242788923354,ECBplus,,,1,1.0,1
17,ACT15736564582703433/ECBplus//,ACT15736564582703433,ECBplus,,,3,0.111,1
18,ACT15736658441608935/ECBplus//,ACT15736658441608935,ECBplus,,,1,1.0,1
19,ACT15736700251185985/ECBplus//,ACT15736700251185985,ECBplus,,,16,0.722,4
20,ACT15736729191212266/ECBplus//,ACT15736729191212266,ECBplus,,,1,1.0,1
21,ACT15736880201420243/ECBplus//,ACT15736880201420243,ECBplus,,,1,1.0,1
22,ACT15738091639707092/ECBplus//,ACT15738091639707092,ECBplus,,,19,1.453,3
23,ACT15829636653183902/ECBplus//,ACT15829636653183902,ECBplus,,,2,0.25,1
24,ACT15829662944171266/ECBplus//,ACT15829662944171266,ECBplus,,,2,0.25,1
25,ACT15829806620339793/ECBplus//,ACT15829806620339793,ECBplus,,,4,1.875,2
26,ACT15829897728138111/ECBplus//,ACT15829897728138111,ECBplus,,,3,1.0,1
27,ACT15829963463443966/ECBplus//,ACT15829963463443966,ECBplus,,,1,1.0,1
28,ACT15832182464413376/ECBplus//,ACT15832182464413376,ECBplus,,,24,1.203,4
29,ACT15986155918997087/ECBplus//,ACT15986155918997087,ECBplus,,,2,2.0,1
30,ACT15986200682468760/ECBplus//,ACT15986200682468760,ECBplus,,,1,1.0,1
31,ACT15986681471021312/ECBplus//,ACT15986681471021312,ECBplus,,,8,8.0,6
32,ACT15986702797042352/ECBplus//,ACT15986702797042352,ECBplus,,,3,1.0,1
33,ACT15987605913923543/ECBplus//,ACT15987605913923543,ECBplus,,,9,2.083,4
34,ACT15987684772418723/ECBplus//,ACT15987684772418723,ECBplus,,,1,1.0,1
35,ACT15987775921544380/ECBplus//,ACT15987775921544380,ECBplus,,,2,2.0,2
36,ACT15987792855817217/ECBplus//,ACT15987792855817217,ECBplus,,,1,1.0,1
37,ACT15987805796654485/ECBplus//,ACT15987805796654485,ECBplus,,,1,1.0,1
38,ACT15987820797465595/ECBplus//,ACT15987820797465595,ECBplus,,,1,1.0,1
